title,originallink,link,description,pubDate
"<b>이재명</b> ‘청년<b>기본소득</b>’ 효과, BIEN 웹진에 게재",https://www.news1.kr/articles/?4246892,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005233598,"<b>이재명</b> 경기도지사의 <b>기본소득</b> 정책 중 하나인 ‘청년<b>기본소득</b>’의 효과가 <b>기본소득</b>지구네트워크(BIEN)에서 운영하는 웹진에 게재됐다. 19일 도에 따르면 BIEN은 지난 12일 ‘한국, 경기 청년<b>기본소득</b>에 대한... ","Fri, 19 Mar 2021 15:08:00 +0900"
"<b>이재명</b>표 청년<b>기본소득</b>, 국제단체 웹진에 소개",http://www.inews24.com/view/1351455,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=031&aid=0000589018,"<b>이재명</b> 경기도지사의 대표적 <b>기본소득</b> 정책인 경기도 청년<b>기본소득</b>의 효과가 <b>기본소득</b> 관련 국제단체인 <b>기본소득</b>지구네트워크(BIEN, Basic Income Earth Network) 웹진에 게재됐다. 19일 경기도에 따르면 BIEN은 12일... ","Fri, 19 Mar 2021 17:01:00 +0900"
"<b>이재명</b>의 '청년<b>기본소득</b>' 효과, <b>기본소득</b>지구네트워크(BIEN) 웹진 게재",http://www.newsis.com/view/?id=NISX20210319_0001376887&cID=10803&pID=14000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010402005,"<b>이재명</b> 경기도지사의 대표 정책 중 하나인 경기도 청년<b>기본소득</b>의 효과가 <b>기본소득</b>지구네트워크(BIEN. Basic Income Earth Network)에서 운영하는 웹진에 게재됐다. 19일 경기도에 따르면 BIEN은 지난 12일 '한국, 경기... ","Fri, 19 Mar 2021 15:32:00 +0900"
<b>이재명</b>표 '<b>기본소득</b> 효과' 유럽서도 조명…<b>기본소득</b>지구네트워크 웹진에 게재,http://moneys.mt.co.kr/news/mwView.php?no=2021031914368087792,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=417&aid=0000671378,<b>이재명</b> 경기도지사의 대표적 <b>기본소득</b> 정책인 경기도 청년<b>기본소득</b>의 효과가 <b>기본소득</b>지구네트워크(BIEN. Basic Income Earth Network)에서 운영하는 웹진에 게재됐다. 19일 경기도에 따르면 BIEN은 지난 3월 12일... ,"Fri, 19 Mar 2021 14:51:00 +0900"
<b>이재명</b>표 청년<b>기본소득</b> <b>기본소득</b>지구네트워크(BIEN) 웹진에 소개,http://www.gukjenews.com/news/articleView.html?idxno=2184739,http://www.gukjenews.com/news/articleView.html?idxno=2184739,제공=경기도청 경기도는 <b>이재명</b> 지사의 대표적 <b>기본소득</b> 정책인 경기도 청년<b>기본소득</b> 효과가 <b>기본소득</b>지구네트워크(BIEN. Basic Income Earth Network)에서 만드는 웹진에 게재됐다고 19일 밝혔다. 도에 따르면 BIEN은... ,"Fri, 19 Mar 2021 15:17:00 +0900"
<b>이재명</b>표 청년<b>기본소득</b> ‘<b>기본소득</b>지구네트워크(BIEN)’ 웹진에 소개,https://www.ekn.kr/web/view.php?key=20210319010003955,https://www.ekn.kr/web/view.php?key=20210319010003955,<b>이재명</b> 경기지사의 대표적 <b>기본소득</b> 정책인 경기도 청년<b>기본소득</b>의 효과가 <b>기본소득</b>지구네트워크(BIEN. Basic Income Earth Network)에서 운영하는 웹진에 게재됐다. 19일 경기도에 따르면 BIEN은 지난 3월12일 ‘한국... ,"Fri, 19 Mar 2021 15:50:00 +0900"
"경기도 청년<b>기본소득</b> 효과, BIEN 웹진 게재",http://www.newsfreezone.co.kr/news/articleView.html?idxno=305512,http://www.newsfreezone.co.kr/news/articleView.html?idxno=305512,"BIEN에 게재된 경기도 청년<b>기본소득</b> ⓒ경기도 <b>이재명</b> 경기도지사의 대표적 <b>기본소득</b> 정책인 경기도 청년<b>기본소득</b>의 효과가 <b>기본소득</b>지구네트워크(BIEN, Basic Income Earth Network)에서 운영하는 웹진에 게재됐다고... ","Fri, 19 Mar 2021 15:33:00 +0900"
"<b>이재명</b> 경기지사 제안 '<b>기본소득</b>', 농촌 대상으로 첫 실험",http://kr.people.com.cn/n3/2021/0319/c208059-9830760.html,http://kr.people.com.cn/n3/2021/0319/c208059-9830760.html,<b>기본소득</b>은 <b>이재명</b> 경기도지사가 제안한 것으로 한국 정치의 최대 화두로 부상했다. 경기도는 이번 사회실험으로 주민의 삶이 어떻게 변화하는지 살펴보고 향후 <b>기본소득</b> 도입을 위한 실증자료로 활용할 예정이다.... ,"Fri, 19 Mar 2021 18:31:00 +0900"
"경기도 청년<b>기본소득</b> 효과, <b>기본소득</b>지구네트워크 웹진 게재",http://www.newspim.com/news/view/20210319001016,http://www.newspim.com/news/view/20210319001016,<b>이재명</b> 경기도지사의 대표적 <b>기본소득</b> 정책인 경기도 청년<b>기본소득</b>의 효과가 <b>기본소득</b>지구네트워크(BIEN. Basic Income Earth Network)에서 운영하는 웹진에 게재됐다. 경기도청 입구 [사진=뉴스핌 DB] 19일 경기도에... ,"Fri, 19 Mar 2021 17:08:00 +0900"
"경기도 청년<b>기본소득</b> 효과, 국제단체 웹진에 소개돼",http://www.ifm.kr/news/304157,http://www.ifm.kr/news/304157,<b>이재명</b> 경기도지사의 대표적 <b>기본소득</b> 정책인 경기도 청년<b>기본소득</b>의 효과가 <b>기본소득</b>지구네트워크(BIEN. Basic Income Earth Network)에서 운영하는 웹진에 게재됐습니다.경기도에 따르면 BIEN은 지난 12일 '한국... ,"Fri, 19 Mar 2021 15:58:00 +0900"
