title,originallink,link,description,pubDate
"<b>김부선</b> &quot;<b>이재명</b>과의 관계, '무상연애'로 조롱받을 일 아냐&quot;",https://www.hankyung.com/politics/article/202103104117i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004510975,배우 <b>김부선</b>씨가 홍준표 무소속 의원을 향해 &quot;<b>이재명</b>과 저의 과거 관계는 분명히 사적영역&quot;이라고 말했다. 김씨는 10일 SNS에 &quot;사적영역을 정치로 끌어 들이는것은 옳지 않다고 생각합니다만 기왕에 이리된 거 분명히... ,"Wed, 10 Mar 2021 14:22:00 +0900"
<b>김부선</b> &quot;<b>이재명</b> 총각사칭이 팩트&quot;…홍준표 '무상연애' 일갈,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4445224,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001556573,배우 <b>김부선</b>이 오늘(10일) 홍준표 무소속 의원을 향해 &quot;<b>이재명</b>(경기지사)과 나의 관계는 사적영역&quot;이라며 &quot;팩트는 총각사칭이고 <b>이재명</b>의 거짓말은 범죄라고 생각한다&quot;고 지적했습니다. 김 씨는 이날 자신의 페이스북에... ,"Wed, 10 Mar 2021 15:37:00 +0900"
홍준표 &quot;<b>이재명</b> 무상연애&quot;…<b>김부선</b> &quot;총각사칭이 팩트&quot;,http://news.mk.co.kr/newsRead.php?no=229416&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004760969,"배우 <b>김부선</b>씨가 10일 &quot;홍준표 의원님, <b>이재명</b>(경기지사)과 저의 과거 관계는 분명히 사적영역&quot;이라며 &quot;사적영역을 정치로 끌어 들이는 것은 옳지 않다고 생각한다&quot;라고 밝혔다. 김씨는 이날 자신의 페이스북을 통해 &quot;홍... ","Wed, 10 Mar 2021 14:42:00 +0900"
영화배우 <b>김부선</b> &quot;<b>이재명</b> 경기도지사 팩트는 총각사칭&quot;,http://www.fnnews.com/news/202103101525593168,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004598487,이어 &quot;홍 의원이 무상연애 등등 이러면서 조롱할 일은 절대 아님을 아시라&quot;며 홍 의원에게 경고했다. #홍준표 #<b>김부선</b> #<b>이재명</b> #<b>이재명</b>지사 #<b>이재명</b>지지율 #<b>김부선</b>SNS #무상연애,"Wed, 10 Mar 2021 15:30:00 +0900"
"<b>김부선</b> &quot;<b>이재명</b>과의 관계, 무상연애로 조롱할 일 아냐&quot;",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202103100276&t=NN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=215&aid=0000942760,배우 <b>김부선</b>씨가 10일 홍준표 무소속 의원이 과거 김씨와 <b>이재명</b> 지사 간 교제설 논란을 언급한 데 대해 &quot;조롱할 일이 아니다&quot;라고 말했다. 김씨는 이날 오전 페이스북에 올린 글에서 &quot;<b>이재명</b>(경기지사)과 저의 과거 관계는... ,"Wed, 10 Mar 2021 15:41:00 +0900"
"洪 &quot;무상연애&quot; <b>이재명</b> 때리자, <b>김부선</b> &quot;총각사칭이 팩트다&quot;",https://news.joins.com/article/olink/23603303,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0003083759,배우 <b>김부선</b>씨가 10일 홍준표 무소속 의원을 향해 &quot;<b>이재명</b> (경기지사)과 저의 과거 관계는 분명히 사적영역&quot;이라며 &quot;조롱할 일이 아니다&quot;고 말했다. 과거 이 지사와 스캔들 의혹이 불거졌던 김씨는 이날 오전 페이스북에... ,"Wed, 10 Mar 2021 12:19:00 +0900"
"홍준표 “<b>이재명</b>, 여배우와 무상연애”…<b>김부선</b> “팩트는 총각사칭”",https://www.donga.com/news/article/all/20210310/105811568/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003343580,배우 <b>김부선</b> 씨가 <b>이재명</b> 경기지사의 과거 스캔들을 언급한 홍준표 무소속 의원을 향해 “<b>이재명</b>(경기지사)과 저의 과거 관계는 분명히 사적영역”이라고 밝혔다. 김 씨는 10일 자신의 페이스북에서 “홍 의원님.... ,"Wed, 10 Mar 2021 14:10:00 +0900"
"<b>김부선</b> &quot;<b>이재명</b>과의 과거, '무상연애'로 조롱받을 일 아냐&quot;",http://www.busan.com/view/busan/view.php?code=2021031016255942354,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001073849,연합뉴스 자료사진 배우 <b>김부선</b> 씨가 무소속 홍준표 의원을 향해 &quot;<b>이재명</b>(경기지사)과 저의 과거 관계는 분명히 사적영역&quot;이라며 &quot;사적영역을 정치로 끌어들이는 것은 옳지 않다고 생각한다&quot;라며 비판했다. 김 씨는 10일... ,"Wed, 10 Mar 2021 16:59:00 +0900"
홍준표 `무상연애` <b>이재명</b> 때리자...<b>김부선</b> &quot;더러운 입 닥치라&quot;,http://www.dt.co.kr/contents.html?article_no=2021031002109958051010&ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=029&aid=0002660067,<b>이재명</b> 경지지사의 이른바 '여배우 스캔들' 당사자인 배우 <b>김부선</b> 씨가 10일 홍준표 무소속 의원을 향해 &quot;<b>이재명</b>과 저의 관계는 분명히 사적 영역&quot;이라며 &quot;조롱할 일이 아니다&quot;라고 말했다. 지난달 28일 홍 의원은 SNS에서 이... ,"Wed, 10 Mar 2021 15:32:00 +0900"
홍준표 &quot;무상연애&quot; <b>이재명</b> 때리기에 <b>김부선</b> &quot;총각사칭이 팩트&quot;,https://www.sedaily.com/NewsView/22JR6W5YSJ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003881386,배우 <b>김부선</b>씨가 10일 홍준표 무소속 의원을 향해 &quot;<b>이재명</b> (경기지사)와 저의 과거 관계는 분명히 사적영역&quot;이라며 &quot;조롱할 일이 아니다&quot;라고 밝혔다. 이는 홍 의원이 지난 8일 페이스북을 통해 이 지사의 '기본 시리즈'를... ,"Wed, 10 Mar 2021 14:46:00 +0900"
