title,originallink,link,description,pubDate
LH사태는 친문과 <b>이재명</b>의 대리전? 건설업계는 &quot;줄 대기 시작&quot;,https://news.imaeil.com/Politics/2021031817220990802,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000694202,한국토지주택공사(LH) 사태가 친문 진영과 <b>이재명</b> 경기도지사의 대리전으로 비치는 모양새다. 이 지사... 이 지사 쪽의 거듭된 <b>부인</b>에도 더불어민주당 일각에서는 LH 사태를 친문과 이 지사 쪽의 대리전 양상으로... ,"Thu, 18 Mar 2021 18:43:00 +0900"
[전문]LH 직원 투기 폭로 배후에 <b>이재명</b> 지사가? &quot;대표적 가짜뉴스&quot;,https://www.sedaily.com/NewsView/22JS2L4F7G,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003882435,김홍국(사진) 경기도 대변인은 12일 <b>이재명</b> 경기도지사 흠집내기식 가짜뉴스에 대해 “거짓으로 쌓은... 제4<b>부인</b> 대한민국 언론의 신뢰를 지켜주시기 바랍니다. 정략적 가짜뉴스와 근거없는 음모론은 민주주의를 파괴하는... ,"Fri, 12 Mar 2021 14:32:00 +0900"
<b>이재명</b> 측 &quot;LH 사태 폭로 배후설… 저열한 공작·음해&quot; [전문],http://www.busan.com/view/busan/view.php?code=2021031214553402312,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001074499,<b>이재명</b> 경기도지사가 9일 서울 여의도 국회에서 열린 더불어민주당 비공개 당무위원회에 참석한 뒤 기자들... 제4<b>부인</b> 대한민국 언론의 신뢰를 지켜주시기 바랍니다. 정략적 가짜뉴스와 근거없는 음모론은 민주주의를... ,"Fri, 12 Mar 2021 15:39:00 +0900"
"경기도, &quot;LH 투기 의혹관련 개인정보 동의서 미제출 공무원 엄중 문책&quot;...이재...",https://www.hankyung.com/society/article/202103166798h,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004513722,<b>이재명</b> 경기도지사는 16일 LH 신도시 투기 의혹과 관련해 소속 공무원들의 개인정보 동의서 미제출에 고발 등... 현재 광명시 6급 공무원 B씨는 신도시 개발 예정지인 광명 가학동의 임야를 <b>부인</b>과 가족 명의로 공동 매입해... ,"Tue, 16 Mar 2021 09:13:00 +0900"
"문 대통령 부동산 적폐청산에 추미애, <b>이재명</b> 공감",https://www.kgnews.co.kr/news/article.html?no=634285,https://www.kgnews.co.kr/news/article.html?no=634285,"추미애, &quot;적폐청산, 검찰개혁에 이은 부동산 개혁은 이제 문재인 정부의 핵심 국정과제이자 목표&quot; <b>이재명</b>... 누구도 <b>부인</b>하지 못하는 한국 경제의 불평등과 양극화의 근본적 원인”이라고 했다. 또 “부동산 투기는 공직의... ","Tue, 16 Mar 2021 12:39:00 +0900"
김부선 &quot;<b>이재명</b> 총각사칭이 팩트&quot;…홍준표 '무상연애' 일갈,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4445224,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001556573,당시 민주당 후보였던 <b>이재명</b> 경기지사는 이를 <b>부인</b>했으나 김 씨가 &quot;<b>이재명</b>이 자신의 입을 막으려고 협박을 했기 때문에 이제까지 밝히지 못했다&quot;고 주장하며 논란은 더욱 가열됐습니다. 그러나 구체적인 증거가... ,"Wed, 10 Mar 2021 15:37:00 +0900"
"<b>이재명</b>, 이낙연과 불화설 돌자 &quot;지상최대 이간작전 시작&quot; 분노",https://www.dailian.co.kr/news/view/971278/?sc=Naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=119&aid=0002474884,여권의 대선 후보 자리를 놓고 이낙연 전 더불어민주당 대표와 미묘한 신경전을 벌이고 있는 <b>이재명</b>... 공익을 우선하는 진짜 민주당원은 원팀정신을 잃지 않는다&quot;고 이 전 대표와의 갈등설을 거듭 <b>부인</b>했다. 데일리안,"Thu, 11 Mar 2021 10:38:00 +0900"
김부선 “<b>이재명</b> 팩트는 총각사칭…조롱할 일 아냐” 홍준표에 일침,http://news.heraldcorp.com/view.php?ud=20210310000714,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001804776,홍준표 무소속 의원이 <b>이재명</b> 경기도지사를 향해 ‘연애도 무상으로 하는 분’이라며 폭격한 데 대해... 김씨가 고소 당시 이 지사가 6·13 지방선거를 앞둔 TV 토론회에서 ‘여배우 스캔들' 의혹을 <b>부인</b>한 것과 관련한... ,"Wed, 10 Mar 2021 14:08:00 +0900"
홍준표 &quot;<b>이재명</b>과 무상연애&quot; 조롱에 김부선 분노 &quot;더러운 입 닥치시라&quot;,https://view.asiae.co.kr/article/2021031020105528156,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004862843,홍준표 무소속 의원이 <b>이재명</b> 경기도지사를 겨냥해 '연애도 무상으로 하는 분'이라며 맹비난한 것에 대해... 이 지사는 6·13 지방선거를 앞둔 TV 토론회에서 '여배우 스캔들' 의혹을 <b>부인</b>했다. 관련해 공직선거법 위반... ,"Wed, 10 Mar 2021 20:28:00 +0900"
홍영표 &quot;친문이 <b>이재명</b> 비토? 단언컨대 사실 아냐…누가 후보 되도 민다&quot;,https://www.news1.kr/articles/?4238918,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005218492,"이건 좀 가능하지 않은 것&quot;이라고 보도내용을 강력 <b>부인</b>하면서 &quot;<b>이재명</b> 지사만 만난 것이 아니라 대권 주자 준비를 하고 있는 분들을 다 두루 만났다&quot;고 했다. 진행자가 &quot;친문이 <b>이재명</b> 지사를 비토하고 있다, 이 지사가... ","Fri, 12 Mar 2021 11:26:00 +0900"
