title,originallink,link,description,pubDate
"&quot;차기 대권 적합도, <b>이재명</b> 25% 윤석열 23% 이낙연 10%&quot;",http://yna.kr/AKR20210318103200001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012268584,4개 기관 합동조사…문대통령 <b>지지율</b> 39% <b>이재명</b> 경기도지사와 윤석열 전 검찰총장이 차기 대권 적합도에서 오차범위 내 양강구도를 지속하고 있다는 여론조사 결과가 18일 나왔다. 엠브레인퍼블릭·케이스탯리서치... ,"Thu, 18 Mar 2021 13:36:00 +0900"
'엎치락 뒤치락' <b>이재명</b>-윤석열 <b>지지율</b>…&quot;李 25% vs 尹 23%&quot;,http://www.sisajournal.com/news/articleView.html?idxno=213883,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=586&aid=0000022158,윤석열 사임 직후 <b>지지율</b> 급상승…<b>이재명</b>과 '양강구도' 윤석열 전 검찰총장과 <b>이재명</b> 경기도지사가 차기 대선후보 적합도 조사에서 '양강구도'를 펼치고 있다는 여론조사 결과가 18일 나왔다. 엠브레인퍼블릭... ,"Thu, 18 Mar 2021 15:14:00 +0900"
"차기대권적합도, <b>이재명</b>(25%) 윤석열(23%) 양강 접전",http://news.kmib.co.kr/article/view.asp?arcid=0015646323&code=61111111&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=005&aid=0001421638,"<b>이재명</b> 경기도지사와 윤석열 전 검찰총장이 차기 대권 적합도에서 오차범위 내 양강 구도를 이어가고... 정당<b>지지율</b>은 민주당 30%, 국민의힘 26%, 정의당 5%, 국민의당 5% 순이었다. 시장 선거를 앞둔 서울 지역에서는... ","Thu, 18 Mar 2021 14:06:00 +0900"
"&quot;차기 대권 적합도, <b>이재명</b>-윤석열 오차범위 내 양강구도&quot;",https://www.sedaily.com/NewsView/22JUTZFEIK,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003884949,"<b>이재명</b> 경기도지사와 윤석열 전 검찰총장이 차기 대권 적합도에서 오차범위 내 양강구도를 이어가고... 정당<b>지지율</b>은 민주당 30%, 국민의힘 26%, 정의당 5%, 국민의당 5% 순이었다. 시장 선거를 앞둔 서울 지역에서는... ","Thu, 18 Mar 2021 14:02:00 +0900"
"대선후보 적합도…<b>이재명</b> 25% 선두 유지, 윤석열 23%",https://www.news1.kr/articles/?4245533,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005231228,차기 대선후보 적합도에서 <b>이재명</b> 경기도지사와 윤석열 전 검찰총장이 오차범위내에서 접전을 벌이는... 윤 전 총장 <b>지지율</b>은 3월 1주차(9%)에서 15%포인트(p) 급증하며 3월2주차 24%를 기록한 이후 1%p 하락했지만... ,"Thu, 18 Mar 2021 15:01:00 +0900"
차기대권 양강구도…<b>이재명</b> 25% vs 윤석열 23%,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202103180236&t=NN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=215&aid=0000944687,"차기 대권 적합도에서 <b>이재명</b> 경기도지사와 윤석열 전 검찰총장이 오차범위 내 양강구도를 지속하는... 정당<b>지지율</b>은 민주당 30%, 국민의힘 26%, 정의당 5%, 국민의당 5% 순이었다. 시장 선거를 앞둔 서울 지역에서는... ","Thu, 18 Mar 2021 13:56:00 +0900"
"차기 대권적합도, <b>이재명</b>-윤석열 오차범위 내 양강구도",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4452607,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001559236,"<b>이재명</b> 경기도지사와 윤석열 전 검찰총장이 차기 대권 적합도에서 오차범위 내 양강구도를 지속하고... 정당<b>지지율</b>은 민주당 30%, 국민의힘 26%, 정의당 5%, 국민의당 5% 순이었습니다. 시장 선거를 앞둔 서울... ","Thu, 18 Mar 2021 14:24:00 +0900"
"4·7 재보선의 방정식 “與 패하면 <b>이재명</b>, 野 패하면 윤석열이 웃는다”",https://shindonga.donga.com/3/all/13/2509906/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=262&aid=0000014314,3%의 <b>지지율</b>을 얻어 박 후보(35.0%)를 7.3%포인트 차로 앞섰다. 박 후보와 국민의당 안 후보 간 맞대결에서도 안... <b>이재명</b>계가 공격하지 않을 수 없는 상황이다. 여권은 분열하고 야권에서는 윤석열이라는 대권후보가... ,"Fri, 19 Mar 2021 10:02:00 +0900"
"차기 대통령감, <b>이재명</b> 25% 윤석열 23% 이낙연 10%",http://www.newsis.com/view/?id=NISX20210318_0001375299&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010399653,"차기 대권구도에서 <b>이재명</b> 경기지사와 윤석열 전 검찰총장 간에 양강구도가 이어지고 있고 있다는... 민주당은 전주 대비 1%포인트 하락했고, 국민의힘은 전주와 동률을 이루면서 <b>지지율</b> 격차는 4%포인트차로... ","Thu, 18 Mar 2021 14:26:00 +0900"
"“차기 대권 적합도, <b>이재명</b> 25%·윤석열 23%·이낙연 10%”",http://news.heraldcorp.com/view.php?ud=20210318000964,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001808839,"차기 대권 적합도에서 <b>이재명</b> 경기도지사와 윤석열 전 검찰총장이 오차범위 내 양강구도를 지속하고... 정당<b>지지율</b>은 민주당 30%, 국민의힘 26%, 정의당 5%, 국민의당 5% 순이었다. 시장 선거를 앞둔 서울 지역에서는... ","Thu, 18 Mar 2021 16:30:00 +0900"
대선주자 지지도 <b>이재명</b> 25%·윤석열 23%·이낙연 10%,http://www.edaily.co.kr/news/newspath.asp?newsid=03476806628984632,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004879407,차기 대선주자 지지도에서 <b>이재명</b> 경기지사와 윤석열 전 검찰총장의 양강구도가 지속되고 있는 가운데... 지사 <b>지지율</b>은 직전 조사인 3월 2주차(25%)와 변동 없이 1위를 지킨 것으로 조사됐다. 2위를 차지한 윤 전... ,"Thu, 18 Mar 2021 16:03:00 +0900"
"윤석열 <b>지지율</b>, 40% 육박…<b>이재명</b>과 13%p 격차",https://www.donga.com/news/article/all/20210315/105876988/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003344445,윤석열 전 검찰총장이 차기 대권주자 <b>지지율</b> 조사에서 <b>이재명</b> 경기도지사와 더불어민주당 이낙연 상임선대위원장를 10%포인트 넘는 격차로 제쳤다는 여론조사 결과가 15일 나왔다. 한국사회여론연구소(KSOI)가 TBS... ,"Mon, 15 Mar 2021 09:30:00 +0900"
