title,originallink,link,description,pubDate
파티는 끝났다…우수수 떨어지는 '윤석열 <b>테마주</b>',https://www.hankyung.com/finance/article/202103168648i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004514045,<b>테마주</b>로 주목받으면 거래량이 오르면서 주가도 오른다. 이후 상승을 주도했던 세력이 이익실현을 하고 빠져나가면서 상승세가 멈춘다. 이후 자연스레 거래량은 급감하고 주가는 빠르게 빠지기 시작한다. <b>이재명</b>... ,"Tue, 16 Mar 2021 15:54:00 +0900"
금태섭 처가 회사가 ‘<b>이재명 테마주</b>'가 된 까닭은?,https://www.chosun.com/national/weekend/2021/03/13/WY2ZMM3QG5FPRKNKJWOEOCL5XU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003601403,그런데 지난 9일 기자에게 <b>이재명 테마주</b>를 추천해준 한 주식정보방 운영자는 이름이 비슷한 오리엔탈 정공을 이 지사 테마주로 추천했다. 오리엔탈 정공 역시 실제로 있는 회사이지만 오리엔트 정공과는 무관하고... ,"Sat, 13 Mar 2021 03:11:00 +0900"
[홍기자의 쏘왓]&quot;사장이 파평 윤씨라&quot; 윤석열 <b>테마주</b> 누가 만들죠?,https://www.nocutnews.co.kr/news/5515176,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=079&aid=0003478618,"테마주를 모니터링하고 단속하고 있는 한국거래소와 금융감독원 등을 취재한 내용을 종합해보면, 현재 핫한 윤석열 테마주, <b>이재명 테마주</b> 등을 누가 만들어서 배포했는지는 당장은 알 수 없습니다. 다만 과거 사례들을... ","Sat, 13 Mar 2021 05:07:00 +0900"
"윤석열 종친, <b>이재명</b> 친구…정치<b>테마주</b> '주가조작' 잡아낸다",https://view.asiae.co.kr/article/2021031108432624815,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004863037,"NE능률, 성보화학 등은 최대주주나 대표이사가 윤석열 전 총장과 같은 종친이라는 이유만으로 <b>테마주</b>로 묶였다. <b>이재명</b> 경기지사 관련 <b>테마주</b>인 성안, 토탈소프트도 부사장이나 대표이사가 중앙대 출신으로 이 지사와... ","Thu, 11 Mar 2021 09:21:00 +0900"
&quot;그 둘이 동문이래&quot; 정치 <b>테마주</b>의 탄생에서 소멸까지,http://news.mt.co.kr/mtview.php?no=2021030813590851506,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004554009,"지연 <b>테마주</b>도 만만찮다. <b>이재명</b> 관련주 중 하나인 오리엔트바이오와 오리엔트정공은 이 지사가 과거 계열사에 근무한 경험이 있다는 점, 경기도에 위치한다는 점 등으로 <b>테마주</b>에 묶인다. 에이텍도 이 지사가... ","Tue, 09 Mar 2021 05:00:00 +0900"
대구 섬유기업 '성안' <b>이재명 테마주</b> 급등→자회사 횡령에 급락,https://news.imaeil.com/Economy/2021030417085439140,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=088&aid=0000691706,최근 '<b>이재명 테마주</b>'로 급부상한 대구 중견 섬유기업 '성안'이 오너 일가 계열사인 성안합섬의 횡령 사건에 주가 하락 폭탄을 맞았다. 성안합섬은 횡령 사실 공시 전에 보유 중이던 성안의 주식을 다량 매도한 것으로... ,"Thu, 04 Mar 2021 18:36:00 +0900"
'투자 광풍' 잠잠해진 윤석열 <b>테마주</b>,https://www.hankyung.com/finance/article/2021031601711,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004514184,<b>테마주</b>로 주목받으면 거래량이 급증하면서 주가도 오른다. 상승을 주도했던 세력이 이익실현을 하고 빠져나가면서 상승세가 멈춘다. 이후 자연스레 거래량은 급감하고 주가는 빠르게 빠지기 시작한다. <b>이재명</b>... ,"Tue, 16 Mar 2021 17:28:00 +0900"
같은 姓·후원회장이라고 '묻지마 상한가'…'정치 <b>테마주</b>' 극성,http://news.tvchosun.com/site/data/html_dir/2021/03/09/2021030990127.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=448&aid=0000320910,기업 가치에 따라 움직여야 하는건데 떨어질 일만 남았잖아요….&quot; <b>이재명</b> 경기 지사의 <b>테마주</b>로 불리는 종목도 정치 상황에 따라 출렁이고 있습니다. 한 자동차 부품제조업체 주가는 이 지사가 예전에 계열사에서... ,"Tue, 09 Mar 2021 21:33:00 +0900"
[특징주] 유력 대권주자 <b>이재명</b>...<b>테마주</b>도 들썩,http://www.ajunews.com/view/20210309104726089,http://www.ajunews.com/view/20210309104726089,에이텍·에이텍티엔의 최대주주 신승영씨는 이 지사가 성남시장으로 재임하던 때 성남창조경영 최고경영자 포럼 운영위원직을 맡았다. 에이텍티엔이 <b>이재명 테마주</b>로 분류된 이유다.,"Tue, 09 Mar 2021 11:02:00 +0900"
"대선 D-1년, 벌써 들썩이는 정치인 <b>테마주</b>",https://www.etoday.co.kr/news/view/2002368,https://www.etoday.co.kr/news/view/2002368,"여권내에서 급부상하며 지지율 1위에 오른 <b>이재명</b> 경기도지사 역시 성안, 토탈소프트 등이 <b>테마주</b>로 거론되고 있다. 이 회사들은 부사장이나 대표이사나 중앙대 출신으로 이 지사와 동문이라는 이유로 그의 행보에 따라... ","Tue, 09 Mar 2021 13:46:00 +0900"
