title,originallink,link,description,pubDate
<b>이재명</b> &quot;4월부터 경기도 배달노동자 산재보험료 90% 지원&quot;,https://www.hankyung.com/society/article/2021031801847,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004515765,<b>이재명</b> 경기도지사는 이날 자신의 <b>페이스북</b>을 통해 &quot;4월부터 경기도 내 배달라이더 및 퀵서비스 노동자 2000명을 대상으로 산재보험료 부담금의 90%를 최대 1년간 지원한다&quot;고 말했다. 필요하다면 더 확대할 방법을 찾는다는... ,"Thu, 18 Mar 2021 20:58:00 +0900"
"<b>이재명</b> &quot;경기도, 배달 노동자 산재보험료 90% 지원&quot;",https://imnews.imbc.com/news/2021/politics/article/6122359_34866.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=214&aid=0001106779,<b>이재명</b> 경기지사는 오늘 <b>페이스북</b>에서 &quot;4월부터 경기도내 배달라이더 및 퀵서비스 노동자 2천명을 대상으로 산재보험료 부담금의 90%를 최대 1년간 지원한다&quot;고 적었습니다. 이 지사는 이어 &quot;필요하다면 더 확대할 방법을... ,"Thu, 18 Mar 2021 19:54:00 +0900"
"‘그때는 맞고 지금은 틀린’ 고시원..<b>이재명</b>, 무방비 고시원 해법 골몰",http://www.edaily.co.kr/news/newspath.asp?newsid=02991366628984960,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004880345,<b>이재명</b> 경기지사(사진=경기도)[수원=이데일리 김미희 기자] <b>이재명</b> 경기지사가 안전에 무방비한 사고들이 고시원에서 발생한 것과 관련해 최소한의 기준이 필요하다고 제안했다. 이 지사는 19일 <b>페이스북</b>에 “제가... ,"Fri, 19 Mar 2021 16:58:00 +0900"
"<b>이재명</b>, &quot;벼랑 끝 서민 살릴 것&quot;...안전 사각지대 고시원 개선 나선다",http://www.kyeonggi.com/news/articleView.html?idxno=2353539,http://www.kyeonggi.com/news/articleView.html?idxno=2353539,<b>이재명</b> 지사는 이날 <b>페이스북</b>에 &quot;잊을만하면 나오는 고시원 화재 참사 뉴스에 더는 안타까워만 할 수 없다&quot;며 이같이 말했다. 그는 &quot;제가 고시공부 할 때만 해도 고시원에 살았던 시절을 낭만으로 이야기하기도 했지만... ,"Fri, 19 Mar 2021 17:48:00 +0900"
<b>이재명</b> &quot;고시원도 최소한의 기준 법으로 규정&quot;,http://www.newsis.com/view/?id=NISX20210319_0001376982&cID=10803&pID=14000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010402166,<b>이재명</b> 경기도지사는 19일 &quot;고시원에도 최소한의 기준이 필요하다&quot;며 법으로 규정하는 방안을 검토하고 있다고 밝혔다. 이 지사는 이날 자신의 <b>페이스북</b>에 &quot;제가 고시공부 할 때만 해도 고시원에 살았던 시절을 낭만으로... ,"Fri, 19 Mar 2021 16:40:00 +0900"
"<b>이재명</b> &quot;경기도, 플랫폼 배달 노동자 산재보험료 90% 지원&quot;",https://www.ytn.co.kr/_ln/0101_202103190910015905,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001564467,"<b>이재명</b> 경기도지사는 18일 <b>페이스북</b>을 통해 &quot;4월부터 경기도 내 배달라이더 및 퀵서비스 노동자 2,000명을 대상으로 산재보험료 부담금의 90%를 최대 1년간 지원한다&quot;고 밝혔다. 이 지사는 &quot;누구나 안전하고 건강하게 일할... ","Fri, 19 Mar 2021 09:10:00 +0900"
"<b>이재명</b> &quot;고시원, 최소한의 기준 필요&quot;",http://www.inews24.com/view/1351480,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=031&aid=0000589020,<b>이재명</b> 경기도지사 SNS 게시물[사진=<b>페이스북</b> 캡쳐] 그는 과거 자신의 고시공부 시절을 소개하며 &quot;안타깝게도 더이상 고시원은 그런 곳이 아니다. 가장 저렴한 돈으로 몸 누일 곳 찾는 저소득 서민들의 마지막 정착지다.... ,"Fri, 19 Mar 2021 17:03:00 +0900"
"<b>이재명</b> “방역사각지대 고시원, 채광 등 최소 기준 법으로 규정 검토”",https://www.news1.kr/articles/?4246992,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005233756,"<b>이재명</b> 경기도지사는 19일 “경기도가 고시원의 채광, 환기, 복도너비, 조명, 소음, 방범 등 10개 부문의 최소 기준을 법으로 규정토록 검토하고 있다”고 밝혔다. 이 지사는 이날 오후 자신의 <b>페이스북</b>에 올린 글에서... ","Fri, 19 Mar 2021 15:56:00 +0900"
"'<b>이재명</b>계' 이규민 의원, 이번엔 박영선 구원투수로 '등판'",https://www.kgnews.co.kr/news/article.html?no=635117,https://www.kgnews.co.kr/news/article.html?no=635117,이 의원은 19일 <b>페이스북</b>에 “탁월한 경제 활성화 효과가 입증된 정책임에도 국민의 힘은 ‘무차별... KS서울디지털화폐로 보편적 재난지원금을 지급하겠다고 밝혔다. [ 경기신문 = 이지은 기자 ] 이규민 의원 <b>페이스북</b> 캡처,"Fri, 19 Mar 2021 21:27:00 +0900"
고시생 출신 <b>이재명</b> &quot;빈민 주거지 된 고시원...방역 최소기준 법으로 만들어야...,https://hankookilbo.com/News/Read/A2021031916520000963?did=NA,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=469&aid=0000589666,<b>이재명</b> 경기지사가 19일 고시원을 저소득 서민들의 마지막 정착지이자 신종 코로나바이러스 감염증... 이 지사는 이날 자신의 <b>페이스북</b>에 &quot;제가 고시공부할 때만 해도 고시원에 살았던 시절을 오늘보다 나은 내일을 위해... ,"Fri, 19 Mar 2021 17:32:00 +0900"
"'<b>이재명</b>계' 이규민 &quot;'매표행위' 막말, 서울시민 모독행위&quot;",http://www.newsis.com/view/?id=NISX20210319_0001377195&cID=10803&pID=14000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010402393,"이 의원은 이날 자신의 <b>페이스북</b>에 &quot;탁월한 경제 활성화 효과가 입증된 정책임에도 국민의힘은 '무차별 현금살포', '달콤한 매표행위', '표 구걸' 등과 같은 막말에 가까운 원색적인 비난을 쏟아냈다&quot;며 이같이 밝혔다.... ","Fri, 19 Mar 2021 21:49:00 +0900"
<b>이재명</b> '#자치분권 기대해' 챌린지 동참,http://www.newsis.com/view/?id=NISX20210318_0001375669&cID=10803&pID=14000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010400258,<b>이재명</b> 경기도지사가 18일 주민 중심의 자치분권 실현에 대한 소망을 담은 '자치분권 기대해' 챌린지에... 자신의 <b>페이스북</b>에 올렸다. 이 지사는 &quot;억울한 사람도 지역도 없는 공정한 자치분권의 시대는 피할 수 없는 길... ,"Thu, 18 Mar 2021 16:52:00 +0900"
