title,originallink,link,description,pubDate
<b>이재명</b>표 '공공개발이익 도민환원' 현실화된다…5년간 1466억 조성,https://view.asiae.co.kr/article/2021031609523076421,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004865998,<b>이재명</b> 경기도지사의 공공개발이익 도민환원이 현실화된다. 경기도는 2025년까지 최소 1466억원의 공공개발이익 도민환원기금을 조성해 도민들에게 돌려주기로 했다. <b>이재명</b> 지사는 앞서 민선7기 공약사업으로... ,"Tue, 16 Mar 2021 10:30:00 +0900"
"<b>이재명</b> &quot;부동산, 최대치 개혁해야&quot;…공직자 토지거래허가구역 검토",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4450404,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001558481,<b>이재명</b> 경기지사는 오늘(16일) 한국토지주택공사(LH) 사태에서 드러난 부동산 투기 관행과 관련해 &quot;그야말로 최대치의 강도로 개혁에 돌입해야 할 때&quot;라며 경기도에 공직자 토지거래허가구역 지정 등을 검토하겠다고... ,"Tue, 16 Mar 2021 14:58:00 +0900"
<b>이재명</b> &quot;공무원도 외국인처럼 토지거래허가구역 지정&quot; 논란,https://news.joins.com/article/olink/23607949,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003085450,<b>이재명</b> 경기지사는 16일 자신의 소셜네트워크서비스(SNS)에 &quot;망국적 부동산 투기 발본색원할 결정적 기회&quot;라는 제목의 글을 올리고 새로운 제도의 필요성을 강조했다. 이 지사는 &quot;외국자본의 무분별한 투기성 토지취득을... ,"Tue, 16 Mar 2021 17:50:00 +0900"
<b>이재명</b> &quot;투기 막을 기회…'공직자 토지거래허가구역' 지정 검토&quot;,https://www.hankyung.com/society/article/202103169449i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004514081,<b>이재명</b> 경기도지사가 16일 페이스북에 “경기도 및 시군 소속 공무원에 대한 토지거래허가구역 지정을 검토하겠다”고 밝혔다. 이 지사는 이날 자신의 페이스북에 ‘망국적 부동산 투기 발본색원할 결정적 기회입니다’... ,"Tue, 16 Mar 2021 16:37:00 +0900"
“최대 강도로 개혁” “재산권 침해”… <b>이재명</b>發 투기 근절책 논란,http://www.segye.com/content/html/2021/03/16/20210316510598.html?OutUrl=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003561694,"<b>이재명</b>, ‘공직자 토지거래허가구역’ 등 투기 근절책 제시 전문가 “과도한 재산권 침해… 실적주의 원칙에... ◆ ‘공직자 토지거래허가구역’, ‘부동산 심사위원회’…줄 잇는 아이디어 16일 <b>이재명</b> 경기도지사는... ","Tue, 16 Mar 2021 14:17:00 +0900"
<b>이재명</b> &quot;공무원 대상 토지거래허가구역 지정 검토&quot;,http://yna.kr/AKR20210316072300061?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012262614,공직자 부동산심사위 설치…'부동산감독원' 법제화 등도 국회에 요청 <b>이재명</b> 경기도지사가 16일 LH발 부동산 투기 사태와 관련해 &quot;경기도 및 시군 소속 공무원에 대한 토지거래허가구역 지정을 검토하겠다&quot;고 밝혔다. 이... ,"Tue, 16 Mar 2021 11:03:00 +0900"
<b>이재명</b> &quot;제도개선 이뤄지면 기본주택 얼마든지 가능&quot;,http://www.newsis.com/view/?id=NISX20210316_0001372312&cID=10803&pID=14000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010395417,<b>이재명</b> 경기도지사가 기본주택 홍보관을 찾은 국회의원들에게 &quot;기본주택은 제도개선과 GH... <b>이재명</b> 지사의 핵심 주거정책인 경기도 기본주택은 30년 동안 장기 거주가 가능한 '장기임대형'과 토지는 공공이 소유... ,"Tue, 16 Mar 2021 15:17:00 +0900"
‘개발 이익은 도민에게’ <b>이재명</b>표 환원기금 1466억 조성한다,http://www.hani.co.kr/arti/area/capital/986983.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002536499,"제도로 <b>이재명</b> 지사의 핵심공약 중 하나다. 손임성 경기도 도시정책관은 16일 브리핑을 통해 이런 내용의... 앞서 경기도는 <b>이재명</b> 지사 공약사업으로 '공공개발이익 도민환원제'를 도입해 남양주 다산신도시, 평택... ","Tue, 16 Mar 2021 15:43:00 +0900"
<b>이재명</b> 핵심공약 개발이익 도민환원제 정책 실현,http://news.mt.co.kr/mtview.php?no=2021031610130058322,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004557730,"[경기도, 개발이익 도민환원기금 신설…5년간 1466억원 조성 기대] <b>이재명</b> 경기도지사의 핵심공약 가운데... 사용하겠다는 <b>이재명</b> 지사의 핵심공약으로 경기주택도시공사(GH)의 공공개발로 발생한 개발이익을 매년 적립해... ","Tue, 16 Mar 2021 10:29:00 +0900"
<b>이재명</b> &quot;대통령의 결연한 적폐청산 의지 지지…행동으로 뒷받침하겠다&quot;,http://www.dt.co.kr/contents.html?article_no=2021031602109932036004&ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002661172,<b>이재명</b> 경기도지사가 문재인 대통령의 부동산 적폐 청산 의지를 적극 지지하며 행동으로 뒷받침하겠다고 밝혔다. 이 지사는 이를 위해 경기도 및 시군 소속 공무원에 대한 토지거래허가구역 지정을 검토한다. <b>이재명</b>... ,"Tue, 16 Mar 2021 12:45:00 +0900"
