title,originallink,link,description,pubDate
"&quot;김종인의 심술, 단일화 장애물&quot; 규정한 <b>홍준표</b> &quot;'안철수 말려 죽이기' 작전 ...",https://www.sedaily.com/NewsView/22JUVJUF5H,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003885072,"오는 4월 치러지는 서울시장 보궐선거를 앞두고 야권 후보 단일화가 난항을 겪고 있는 상황과 관련, <b>홍준표</b>... 본선이 어떻게 되더라도 기호 <b>2번</b> 후보를 출마시켜야겠다는 자기 욕심 때문에 단일화가 안 되고 있다&quot;고... ","Thu, 18 Mar 2021 16:57:00 +0900"
<b>홍준표</b> &quot;서울시장 단일화 치킨게임…어떤 경우라도 단일화 이뤄야&quot;,https://news.imaeil.com/Politics/2021031813451993155,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000694097,이에 따라 오 후보와 안 후보는 각각 기호 <b>2번</b>과 4번으로 후보등록 절차를 밟을 것으로 보인다. 다음은 <b>홍준표</b> 의원 페이스북에 18일 올라온 글. 오늘은 무척 바쁜날 입니다. 15시에는 마포포럼 특강이 있고 17시에는 예결위... ,"Thu, 18 Mar 2021 13:46:00 +0900"
"김종인 &quot;安, 토론도 못 하는 사람&quot;에 <b>홍준표</b> &quot;소인배 정치&quot;",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4449108,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001558045,김 위원장은 &quot;우리 당은 오세훈 후보를 '<b>2번</b> 국민의힘' 오세훈으로 정해놓은 것이지 '자연인' 오세훈이 아니고... 이에 <b>홍준표</b> 무소속 의원은 김 위원장을 겨냥해 &quot;소인배 정치&quot;라고 비판했습니다. 홍 의원은 이날... ,"Mon, 15 Mar 2021 11:56:00 +0900"
<b>홍준표</b> &quot;吳·安 단일화 안 되고 있는 건 김종인 심술 때문&quot;,http://www.edaily.co.kr/news/newspath.asp?newsid=03653926628984632,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004879463,야권의 잠룡으로 꼽히는 무소속 <b>홍준표</b> 의원이 오세훈·안철수 서울시장 후보의 단일화 협상이 지지부진한... 기호 <b>2번</b> 후보를 출마시켜야겠다는 자기 욕심 때문에 단일화가 안 되고 있다”고 지적했다. 이어 그는... ,"Thu, 18 Mar 2021 16:32:00 +0900"
"<b>홍준표</b>·김무성 &quot;김종인, 野 단일화 장애물… 사퇴해야&quot; 비난",http://www.kbmaeil.com/news/articleView.html?idxno=871411,http://www.kbmaeil.com/news/articleView.html?idxno=871411,무소속 <b>홍준표</b> 의원이 18일 오후 서울 마포구 현대빌딩에서 열린 '더 좋은 세상으로(마포포럼)' 세미나에... 본선이 어떻게 되더라도 기호 <b>2번</b> 후보를 출마시켜야겠다는 자기 욕심 때문에 단일화가 안 되고 있다&quot;고 상황을... ,"Thu, 18 Mar 2021 20:20:00 +0900"
김종인 &quot;안철수 자기 고집만 &quot; vs <b>홍준표</b> &quot;단일화 성사돼야&quot;,http://www.newsfreezone.co.kr/news/articleView.html?idxno=304962,http://www.newsfreezone.co.kr/news/articleView.html?idxno=304962,김종인 국민의힘 비상대책위원장(왼쪽)과 <b>홍준표</b> 무소속 의원은 오세훈 국민의힘 서울시장 후보와 안철수... 큰 <b>2번</b>을 만들려는 그런 생각을 한다는 게 나로선 납득이 되지 않는다&quot;고 말했다. 이에 홍 의원은 이날... ,"Wed, 17 Mar 2021 16:15:00 +0900"
"[정치오늘] <b>홍준표</b> &quot;김종인, 피아 구분 못하는 소인배 정치&quot;",http://www.sisaon.co.kr/news/articleView.html?idxno=125094,http://www.sisaon.co.kr/news/articleView.html?idxno=125094,"토론을 오전, 오후 하루에 <b>2번</b>씩 해도 좋다고 했다&quot;며 이 같이 말했다. <b>홍준표</b> &quot;김종인, 피아 구분 못하는 소인배 정치&quot; 무소속 <b>홍준표</b> 의원도 &quot;상대는 민주당인데 같은 야권 후보를 비방하는 것은 피아를 구분하지 못하는... ","Mon, 15 Mar 2021 19:00:00 +0900"
"안철수-오세훈 단일화 불발, <b>홍준표</b> &quot;김종인 비대위원장은 야권 단일화의 장애...",http://www.newsinside.kr/news/articleView.html?idxno=1105207,http://www.newsinside.kr/news/articleView.html?idxno=1105207,이에 따라 두 후보는 각각 기호 <b>2번</b>과 4번으로 등록하게 됐다. 이날 국민의 힘 김종인 비대위원장은 비대위... 무소속 <b>홍준표</b> 의원은 국민의 힘 김무성 전 의원이 이끄는 전·현직 의원 모임 '마포 포럼' 강연에서 &quot;김... ,"Fri, 19 Mar 2021 07:01:00 +0900"
"안철수를 때린 김종인, 김종인을 때린 <b>홍준표</b>…'<b>2번</b>' 논란 확산",https://www.nocutnews.co.kr/news/5508926,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=079&aid=0003474233,"국민의힘 장제원 의원은 페이스북에 &quot;김종인 발 기호 <b>2번</b> 논란, 참으로 유치찬란하다&quot;고 썼다. 장 의원은 &quot;지금 국민의힘에 더 필요한 사람은 김종인 위원장이 아니라 안철수 후보&quot;라고 했다. 무소속 <b>홍준표</b> 의원은 &quot;이미... ","Tue, 02 Mar 2021 17:19:00 +0900"
나경원·오세훈 &quot;기호 4번 달면 패배&quot; vs 안철수 &quot;<b>2번</b>은 7연패&quot;,https://www.hankyung.com/politics/article/2021030390107,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004507446,"장제원 국민의힘 의원은 &quot;김종인 발(發) 기호 <b>2번</b> 논란, 참으로 유치찬란하다&quot;며 &quot;이제 와서 국민의힘 후보가 아니면 선거를 돕지 못한다고 겁박하는 것은 단일화 결과에 불복하겠다는 것과 다르지 않다&quot;고 했다. <b>홍준표</b>... ","Wed, 03 Mar 2021 14:53:00 +0900"
나경원·오세훈 &quot;<b>2번</b>이어야 승리&quot; vs 안철수 &quot;<b>2번</b>으로 7번 패배&quot;,https://www.hankyung.com/politics/article/202103039425i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004507459,<b>홍준표</b> 무소속 의원도 “김 위원장이 안 후보에게 기호<b>2번</b>을 달고 뛰어달라고 요청하는 모습은 자당 후보가 단일화 경선에서 패배한단 걸 전제로 한 패배주의 발상”이라며 “잘못된 메시지”라고 평가했다. 국민의힘... ,"Wed, 03 Mar 2021 15:03:00 +0900"
<b>홍준표</b> &quot;김종인 '<b>2번</b>' 요구는 패배주의 발상&quot;…장제원도 비판 가세,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4437698,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001553831,<b>홍준표</b> 무소속 의원은 2일 야권 단일화 국면에서 김종인 국민의힘 비대위원장의 행보를 두고 &quot;패배주의&quot;라고... 홍 의원은 본인 페이스북에 올린 글에서 &quot;야권 단일화를 앞두고 김종인 위원장이 안철수 후보에게 <b>2번</b> 달고... ,"Tue, 02 Mar 2021 16:54:00 +0900"
장제원 &quot;김종인발 기호<b>2번</b> 논란 유치찬란&quot;…<b>홍준표</b> &quot;패배주의 발상&quot;,https://imnews.imbc.com/news/2021/politics/article/6106523_34866.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=214&aid=0001103277,무소속 <b>홍준표</b> 의원 역시 페이스북에서 &quot;김종인 위원장이 안철수 후보에게 기호<b>2번</b> 달고 뛰어달라고 요청하는 모습은 자당 후보가 단일화 경선에서 패배한단 걸 전제로 한 패배주의 발상&quot;이라며 &quot;잘못된 메시지&quot;라고... ,"Tue, 02 Mar 2021 17:42:00 +0900"
"<b>홍준표</b> &quot;김종인, 안철수 기호 <b>2번</b> 요청은 패배주의 발상&quot;",https://news.imaeil.com/Politics/2021030216372696766,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000691195,이어 2일에도 페이스북에 글을 올린 <b>홍준표</b> 의원은 김종인 위원장이 안철수 대표에게 기호 <b>2번</b>을 달라고 요청한 것을 두고 재차 비판했다. 이날 김종인 위원장은 안철수 대표가 국민의힘 후보와의 경선에서 승리해 최종... ,"Tue, 02 Mar 2021 16:37:00 +0900"
"<b>홍준표</b>, 안철수 1차단일화에 &quot;김종인 심술 그만&quot;",http://www.edaily.co.kr/news/newspath.asp?newsid=01531766628979384,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004864673,안철수 국민의당 대표의 후보 단일화 성공을 본 <b>홍준표</b> 무소속 의원이 김종인 국민의힘 비대위원장의... 이날 김 위원장은 안 후보로 최종 단일화가 이루어지더라도 기호<b>2번</b> 국민의힘 후보로 선거운동을 해야한다는 입장을... ,"Tue, 02 Mar 2021 08:11:00 +0900"
"'기호 <b>2번</b>' 고집하는 김종인, 소신인가 몽니인가",https://www.dailian.co.kr/news/view/968812/?sc=Naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=119&aid=0002472586,"했으니 <b>2번</b>이든 4번이든 야권단일후보가 두 번째 칸에 올라가는 것은 기정사실이라 불리할 게 전혀 없다&quot;고 안 대표의 입장에 가세했다. <b>홍준표</b> 무소속 의원도 전날 &quot;서울시민들은 야당 승리를 원하지, 굳이 야당 중 어느... ","Wed, 03 Mar 2021 00:31:00 +0900"
"<b>홍준표</b>, 1차 단일화 성공한 안철수 감싸 “김종인은 심술 그만”",http://www.segye.com/content/html/2021/03/02/20210302503766.html?OutUrl=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003557083,“서울시민들은 야당 승리 원하지 굳이 야당 중 어느 당이 승리 하는지는 관심 없다” <b>홍준표</b>(사진) 무소속... 이날 김 위원장은 “안 후보로 최종 단일화가 이뤄지더라도 기호<b>2번</b> 국민의힘 후보로 선거운동을 해야한다”... ,"Tue, 02 Mar 2021 10:03:00 +0900"
'기호 <b>2번</b>'이냐 '기호 4번'이냐…국민의힘 운명 걸렸나,https://www.nocutnews.co.kr/news/5508977,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=079&aid=0003474338,국민의당과 서울시장 야권 후보 단일화를 추진 중인 국민의힘이 '기호 <b>2번</b>' 관철에 당의 명운을 걸었다.... 야권 재편을 노리고 있는 무소속 <b>홍준표</b> 의원은 연일 안철수 후보에 힘을 실으며 김종인 체제 흔들기에 나섰다.... ,"Wed, 03 Mar 2021 06:01:00 +0900"
