title,originallink,link,description,pubDate
"박영선, 지역<b>공약</b> 속속 발표…핵심 타깃은 '조직표'",https://www.dailian.co.kr/news/view/973674/?sc=Naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=119&aid=0002477039,"더불어민주당 박영선 서울시장 후보가 18일 오전 서울시 관악구를 찾아 지역 5대 <b>공약</b>을 발표했다. 교통... <b>홍준표</b> 무소속 의원은 이와 관련해 &quot;40%도 안 되는 저조한 보궐선거 투표율을 감안하면, 열성적인 지지층만... ","Thu, 18 Mar 2021 15:53:00 +0900"
김부선 &quot;이재명 총각사칭이 팩트&quot;…<b>홍준표</b> '무상연애' 일갈,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4445224,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001556573,배우 김부선이 오늘(10일) <b>홍준표</b> 무소속 의원을 향해 &quot;이재명(경기지사)과 나의 관계는 사적영역&quot;이라며... 허경영식 <b>공약</b>은 참으로 걱정스럽다&quot;고 밝혔습니다. 그러면서 &quot;하기사 연애도 무상으로 하는 분이니 말릴 수는... ,"Wed, 10 Mar 2021 15:37:00 +0900"
<b>홍준표</b> &quot;허경영식 <b>공약</b> 걱정스럽다&quot;…이재명 정조준,http://news.mk.co.kr/newsRead.php?no=222491&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004760060,<b>홍준표</b> 무소속 의원은 8일 이재명 경기지사를 향해 &quot;국가 재정능력이 한계치에 달한 지금의 대한민국에서 코로나 정국을 이용해 또다시 무상시리즈로 국민들을 현혹하는 허경영식 <b>공약</b>은 참으로 걱정스럽다&quot;라고 말했다.... ,"Mon, 08 Mar 2021 19:22:00 +0900"
"<b>홍준표</b> “이재명, 여배우와 무상연애”…김부선 “팩트는 총각사칭”",https://www.donga.com/news/article/all/20210310/105811568/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003343580,배우 김부선 씨가 이재명 경기지사의 과거 스캔들을 언급한 <b>홍준표</b> 무소속 의원을 향해 “이재명(경기지사)... 식 <b>공약</b>은 참으로 걱정스럽다”고 했다. 그러면서 과거 이 지사가 김 씨와 이성교제를 했다는 의혹에 휩싸여... ,"Wed, 10 Mar 2021 14:10:00 +0900"
"[스트레이트 말말말] <b>홍준표</b> &quot;김종인, 나이 먹고 어떻게 저렇게 정치를 했나 ...",http://www.straightnews.co.kr/news/articleView.html?idxno=100321,http://www.straightnews.co.kr/news/articleView.html?idxno=100321,"■<b>홍준표</b> &quot;김종인, 나이 먹고 어떻게 저렇게 정치를 했나 기가 막혔다&quot; 무소속 <b>홍준표</b> 의원이 18일 김종인... 허 대표는 후보 등록 후 자신의 페이스북에 &quot;내 <b>공약</b>은 특별하다&quot;고 공언하면서 &quot;서울시장 후보를 1등으로... ","Fri, 19 Mar 2021 09:11:00 +0900"
"<b>홍준표</b> “이재명, 연애도 무상으로 하는 분”",https://www.chosun.com/politics/politics_general/2021/03/08/5QO5GWXYQJB6BOR4IX7FDYC4ZM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003600289,불과합니다.” <b>홍준표</b> 무소속 의원이 또 다시 이재명 경기지사를 향해 날을 세웠다. 최근 이 지사를... 허경영식 <b>공약</b>은 참으로 걱정스럽다”고 했다. 홍 의원이 이 지사에게 날을 세운 것은 이번이 처음이 아니다. 지난달... ,"Mon, 08 Mar 2021 17:56:00 +0900"
"<b>홍준표</b> &quot;이재명 기본소득, 무상시리즈 재판.. 허경영식 <b>공약</b>&quot;",http://www.fnnews.com/news/202103081419233125,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004596769,<b>홍준표</b> 무소속 의원이 여권 유력주자인 이재명 경기도지사가 주장하는 기본소득 정책과 관련해 “10여년 전... 허경영식 <b>공약</b>은 참으로 걱정스럽다”면서 “하기사 연애도 무상으로 하는 분이니 말릴 수는 없지만 더 이상... ,"Mon, 08 Mar 2021 14:24:00 +0900"
김부선 “이재명 팩트는 총각사칭…조롱할 일 아냐” <b>홍준표</b>에 일침,http://news.heraldcorp.com/view.php?ud=20210310000714,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001804776,<b>홍준표</b> 무소속 의원이 이재명 경기도지사를 향해 ‘연애도 무상으로 하는 분’이라며 폭격한 데 대해... “허경영식 <b>공약</b>”이라고 비판하면서 이 지사를 두고 “하기사 연애도 무상으로 하는 분이니 말릴 수는 없다”고... ,"Wed, 10 Mar 2021 14:08:00 +0900"
<b>홍준표</b> &quot;이재명과 무상연애&quot; 조롱에 김부선 분노 &quot;더러운 입 닥치시라&quot;,https://view.asiae.co.kr/article/2021031020105528156,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004862843,"<b>홍준표</b> 무소속 의원이 이재명 경기도지사를 겨냥해 '연애도 무상으로 하는 분'이라며 맹비난한 것에 대해... 재판&quot;, &quot;허경영식 <b>공약</b>&quot;이라며 &quot;하기사 연애도 무상으로 하는 분이니 말릴 수는 없다&quot;며 조롱했다. 김씨는 과거... ","Wed, 10 Mar 2021 20:28:00 +0900"
"<b>홍준표</b> “‘몽니’ 김종인, 피아 구분 못하고 안철수 비방…물러서!”",https://www.seoul.co.kr/news/newsView.php?id=20210315500090&wlog_tag3=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=081&aid=0003170996,"김종인 “안철수, 토론 못하면 시장 안 돼”에 <b>홍준표</b> “김종인, 마지막까지 몽니정치 할래” “안철수... 약 10분 동안 자신의 <b>공약</b>·비전을 발표한 뒤 기자단으로부터 질문을 받는다. 사회는 양측 대변인들이 공동으로... ","Mon, 15 Mar 2021 14:31:00 +0900"
