title,originallink,link,description,pubDate
<b>홍준표</b> &quot;野 단일화 장애물&quot; 김무성 &quot;방해꾼&quot;…김종인에 독설,http://yna.kr/AKR20210318152100001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012269633,"洪 &quot;80 넘은 할배, 기가 막혀&quot; 金 &quot;이성 잃고 국민 짜증나게 해&quot; 한지훈 이은정 기자 = 무소속 <b>홍준표</b> 의원과... 보면서, <b>나이</b> 먹고 어떻게 저렇게 정치를 했나 기가 막혔다&quot;라고 했다. 홍 의원은 윤석열 전 검찰총장이 야권의... ","Thu, 18 Mar 2021 17:04:00 +0900"
"[스트레이트 말말말] <b>홍준표</b> &quot;김종인, <b>나이</b> 먹고 어떻게 저렇게 정치를 했나 ...",http://www.straightnews.co.kr/news/articleView.html?idxno=100321,http://www.straightnews.co.kr/news/articleView.html?idxno=100321,"■<b>홍준표</b> &quot;김종인, <b>나이</b> 먹고 어떻게 저렇게 정치를 했나 기가 막혔다&quot; 무소속 <b>홍준표</b> 의원이 18일 김종인 비상대책위원장을 서울시장 야권 후보 단일화의 '장애물'로 규정하며 독설을 쏟아냈다. 홍 의원은 이날 김 전... ","Fri, 19 Mar 2021 09:11:00 +0900"
<b>홍준표</b> &quot;서울시장 단일화 합의 안되는 건 김종인 때문&quot;…'장애물''심술' 강도...,https://www.yeongnam.com/web/view.php?key=20210318010002925,https://www.yeongnam.com/web/view.php?key=20210318010002925,"무소속 <b>홍준표</b>(대구 수성구을) 의원이 18일 국민의힘 김종인 비상대책위원장을 &quot;서울시장 야권 후보 단일화의... 보면서, <b>나이</b> 먹고 어떻게 저렇게 정치를 했나 기가 막혔다&quot;라고 재차 김 위원장을 비판했다.최근 윤석열 전... ","Thu, 18 Mar 2021 17:38:00 +0900"
"<b>홍준표</b> &quot;김종인 막판까지 몽니, 피아 구분 못하고 안철수 비방&quot;",https://www.news1.kr/articles/?4241206,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005222589,"박태훈 선임기자 = 무소속 <b>홍준표</b> 의원은 15일, 김종인 국민의힘 비상대책위원회 위원장에게 몽니 그만 부리고... 것인가&quot;며 &quot;미국에선 <b>나이</b> 먹은 바이든이나 트럼프도 스탠딩 토론회를 하는데 (안 후보는) 토론을 못... ","Mon, 15 Mar 2021 13:29:00 +0900"
"김종인 &quot;안철수, 토론 못 하는 사람&quot; 비판에 <b>홍준표</b> &quot;소인배&quot;",https://www.sedaily.com/NewsView/22JTHHX2R4,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003883301,<b>홍준표</b> 무소속 의원은 15일 서울시장 야권 후보 단일화 과정에서 안철수 국민의당 후보를 비판한 김종인... “미국에선 <b>나이</b> 먹은 바이든이나 트럼프도 스탠딩 토론회를 하는데 (안 후보는) 토론을 못 하겠다는 것 아닌가”... ,"Mon, 15 Mar 2021 14:18:00 +0900"
"<b>홍준표</b>, 김종인 직격 &quot;야권 단일화 장애물&quot;…김무성도 호응",https://www.asiatoday.co.kr/view.php?key=20210318010012474,https://www.asiatoday.co.kr/view.php?key=20210318010012474,"<b>홍준표</b> 무소속 의원과 김무성 국민의힘 전 의원 등 야권 전·현직 중진들이 18일 김종인 비상대책위원장을... 보면서, <b>나이</b> 먹고 어떻게 저렇게 정치를 했나 기가 막혔다”라고 재차 비판했다.홍 의원은 또 “80 넘은 할배가... ","Thu, 18 Mar 2021 18:30:00 +0900"
"<b>홍준표</b> “‘몽니’ 김종인, 피아 구분 못하고 안철수 비방…물러서!”",https://www.seoul.co.kr/news/newsView.php?id=20210315500090&wlog_tag3=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=081&aid=0003170996,"김종인 “안철수, 토론 못하면 시장 안 돼”에 <b>홍준표</b> “김종인, 마지막까지 몽니정치 할래” “안철수... 미국에선 <b>나이</b> 먹은 바이든이나 트럼프도 스탠딩 토론회를 하는데 (안 후보는) 토론을 못 하겠다는 것 아닌가”... ","Mon, 15 Mar 2021 14:31:00 +0900"
<b>홍준표</b> &quot;<b>나이</b>들어 경계할 것은 몽니 정치&quot;…김종인 우회 비판,https://imnews.imbc.com/news/2021/politics/article/6055505_34866.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=214&aid=0001092291,자유한국당 대표를 지낸 무소속 <b>홍준표</b> 의원이 &quot;<b>나이</b>가 들어 가면서 가장 경계해야 할 것은 바로 몽니 정치&quot;라며 국민의힘 김종인 비상대책위원장을 우회적으로 비판했습니다. 홍 의원은 오늘 SNS를 통해 김종필 전... ,"Tue, 12 Jan 2021 11:19:00 +0900"
<b>홍준표</b> vs 이재명 ‘인파이터’ 정면 승부…“형수에게 쌍욕은 학폭”,http://www.segye.com/content/html/2021/02/28/20210228502459.html?OutUrl=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003556578,여권 인파이터 이재명·야권 인파이터 <b>홍준표</b> 이재명 치고 나서자 <b>홍준표</b> 반이 전선에 참여 기본소득·태도... 신구미월령(新鳩未越嶺·어린 비둘기는 재를 넘지 못한다경험이 부족한 젊은 사람은 <b>나이</b> 든 사람을 이기지... ,"Sun, 28 Feb 2021 10:01:00 +0900"
<b>홍준표</b> 연일 이재명 때리기…지지율 격차는 3.5배,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4436420,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001553472,"<b>홍준표</b> 무소속 의원이 연일 이재명 경기도지사에게 직격탄을 날리고 있습니다. 지난달 27일부터 오늘(1일)... 신구미월령은 '어린 비둘기는 재를 넘지 못한다'는 말로, 경험이 부족한 젊은 사람이 <b>나이</b> 든 사람을 이기지... ","Mon, 01 Mar 2021 18:10:00 +0900"
