title,originallink,link,description,pubDate
"<b>대선</b>후보 적합도…이재명 25% 선두 유지, 윤석열 23%",https://www.news1.kr/articles/?4245533,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005231228,"보수진영 <b>대선</b>후보 적합도에서 윤 전 총장은 전주보다 2%p 상승한 25%를 기록하며 1위 차지, 8%를 기록한 안철수 대표, <b>홍준표</b> 의원을 큰 차이로 따돌렸다. 진보진영 <b>대선</b>후보 적합도에서는 이재명 지사가 32%로... ","Thu, 18 Mar 2021 15:01:00 +0900"
<b>홍준표</b>-정세균 신경전…&quot;등판 준비하나&quot;vs&quot;준비 잘 하라&quot;,https://www.hankyung.com/politics/article/2021031801257,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004515751,"여야 대권주자로 꼽히는 정세균 국무총리(사진)와 <b>홍준표</b> 무소속 의원이 18일 국회 예산결산특별위원회... 정 총리가 4월 말, 5월 초께 <b>대선</b> 출마를 위해 총리직을 내려 놓을 것이라는 설이 도는 것에 대한 직격이다. 정... ","Thu, 18 Mar 2021 19:48:00 +0900"
<b>대선</b>주자 지지도 이재명 25%·윤석열 23%·이낙연 10%,http://www.edaily.co.kr/news/newspath.asp?newsid=03476806628984632,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004879407,"차기 <b>대선</b>주자 지지도에서 이재명 경기지사와 윤석열 전 검찰총장의 양강구도가 지속되고 있는 가운데... 안철수 국민의당 대표와 <b>홍준표</b> 의원은 각각 4%, 3%의 지지율을 얻었다. 아울러 대통령감으로 적합한 인물이... ","Thu, 18 Mar 2021 16:03:00 +0900"
<b>홍준표</b>&quot;등판 준비는 하고 있나&quot; 정세균 &quot;좀 이상한 생각 가지신 듯&quot;,https://news.imaeil.com/NationalAssembly/2021031821361255694,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000694228,"<b>홍준표</b> 무소속 의원이 18일 국회 예결위장에서 또다시 신경전을 이어 갔다. 이날 홍 의원은 종합정책질의에 출석한 정 총리에게 &quot;등판 준비는 하고 있냐&quot;고 말문을 열었다. 정치권에서 정 총리가 4월 말, 5월 초에 <b>대선</b> 출마를... ","Thu, 18 Mar 2021 21:44:00 +0900"
"[영상] '<b>대선</b>주자 신경전' <b>홍준표</b> &quot; 총리, 등판 준비하고 있나?&quot; 정세균 &quot;갑작...",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002728505&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=047&aid=0002306148,"18일 오후 국회 예결위 종합정책질의 ▲ [오마이TV] '<b>대선</b>주자 신경전' <b>홍준표</b> &quot; 총리, 등판 준비하고 있나?&quot; 정세균 &quot;갑작스럽게 무슨 말?&quot; ⓒ 김윤상 18일 국회 예결위 종합정책질의, 여야 대권주자로 꼽히는 정세균... ","Fri, 19 Mar 2021 15:16:00 +0900"
<b>홍준표</b> “등판 준비 하고 있냐”…정세균 “홍 의원이 준비 잘 하시길”,http://news.heraldcorp.com/view.php?ud=20210318001071,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001808894,"<b>홍준표</b> 무소속 의원이 18일 국회 예결위장에서 또다시 신경전을 벌였다. 홍 의원은 18일 종합정책질의에 출석한 정 총리에게 &quot;등판 준비는 하고 있냐&quot;고 말문을 열었다. 정치권에서 정 총리가 4월 말, 5월 초에 <b>대선</b> 출마를... ","Thu, 18 Mar 2021 21:29:00 +0900"
<b>홍준표</b> &quot;등판할 때 됐는데&quot;…정세균 &quot;의원님 준비 잘 하길&quot;,http://yna.kr/AKR20210318170400001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012269868,"무소속 <b>홍준표</b> 의원이 18일 국회 예결위장에서 신경전을 벌였다. 홍 의원은 이날 정 총리를 향한 질의를... 홍 의원이 &quot;지난 총선 때도, 보궐선거 때도 (지원금을 주고) <b>대선</b> 무렵에 또 뿌리려고 자락을 까나&quot;라고 묻자 정... ","Thu, 18 Mar 2021 19:03:00 +0900"
<b>홍준표</b> &quot;80넘은 할배가 마이크 독점…DJ처럼 안철수 품어라&quot;,https://news.joins.com/article/olink/23609890,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0003086151,“야권 단일화의 장애물은 김종인 위원장입니다.” <b>홍준표</b> 무소속 의원이 김종인 국민의힘... 홍 의원은 차기 <b>대선</b>에서의 정권교체를 위해서라도 국민의힘이 안철수 국민의당 대표를 끌어안아야 한다고 주장했다. 그는... ,"Thu, 18 Mar 2021 17:37:00 +0900"
양보 나선 安 &quot;모두 수용&quot;...<b>홍준표</b> &quot;김종인 몽니...안철수 포용&quot;,http://www.sisafocus.co.kr/news/articleView.html?idxno=257479,http://www.sisafocus.co.kr/news/articleView.html?idxno=257479,<b>홍준표</b> 무소속 의원이 발언하고 있다. [시사포커스 / 오훈 기자] 안철수 국민의당 서울시장 후보가... 이 고문은 &quot; 단일화를 하거나 무슨 야권 <b>대선</b>이나 시도지사 경선할 때는 100% 무선이지 유선전화 쓰는 당내 경선은 있지... ,"Fri, 19 Mar 2021 15:58:00 +0900"
<b>홍준표</b> “등판 준비 잘하고 있나” vs 정세균 “의원님이 잘하시길”,https://www.vop.co.kr/A00001556712.html,https://www.vop.co.kr/A00001556712.html,여야 차기 <b>대선</b> 주자로 꼽히는 무소속 <b>홍준표</b> 의원과 정세균 국무총리가 18일 또 한 번 날 선 신경전을 펼쳤다.홍 의원은 이날 국회 예산결산특별위원회의 종합정책질의에 출석한 정 총리를 향해 대뜸 “등판 준비는 하고... ,"Fri, 19 Mar 2021 08:44:00 +0900"
"<b>홍준표</b>, &quot;<b>대선</b> 때 TK 하늘길 열어줄 사람 선택해야&quot;",https://www.news1.kr/photos/view/?4675152,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005233901,"무소속 <b>홍준표</b> 의원(대구 수성을)이 19일 대구 웨딩비엔나 컨벤션홀에서 열린 제1회 대구스마트경제포럼해 참석해 발언하고 있다. 그는 이날 대구경북통합신공항 특별법이 무산된 것과 관련, &quot;차기 <b>대선</b> 때는... ","Fri, 19 Mar 2021 16:34:00 +0900"
"<b>홍준표</b>, &quot;<b>대선</b> 때 TK 하늘길 열어줄 사람 선택해야&quot;",https://www.news1.kr/photos/view/?4675153,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005233902,"무소속 <b>홍준표</b> 의원(대구 수성을)이 19일 대구 웨딩비엔나 컨벤션홀에서 열린 제1회 대구스마트경제포럼해 참석해 발언하고 있다. 그는 이날 대구경북통합신공항 특별법이 무산된 것과 관련, &quot;차기 <b>대선</b> 때는... ","Fri, 19 Mar 2021 16:35:00 +0900"
