title,originallink,link,description,pubDate
"<b>홍준표</b> &quot;서울시장 선거 단일화 장애 김종인, 제발 좀 빠져라&quot;",https://www.news1.kr/articles/?4246565,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005232931,무소속 <b>홍준표</b> 의원(대구 수성을)이 자신의 <b>복당</b>과 관련해 갈등을 빚는 김종인 국민의힘 비상대책위원장을 향해 &quot;서울시장 보궐선거 야권 단일화 협상에 장애가 된다. 제발 좀 빠져라&quot;고 했다. 홍 의원은 19일 자신의... ,"Fri, 19 Mar 2021 11:17:00 +0900"
<b>홍준표</b> “야당 뭐가 켕겨서 뒷걸음질 치나”…국힘에 특검 압박,https://ilyo.co.kr/?ac=article_view&entry_id=395342,https://ilyo.co.kr/?ac=article_view&entry_id=395342,국민의힘 <b>복당</b>을 노리는 <b>홍준표</b> 무소속 의원이 12일 더불어민주당의 ‘LH특검’ 제안에 난색을 보인 국민의힘을 향해 “속시원하게 특검도 받고 전수조사도 받아라”고 촉구했다. 홍 의원은 이날 자신의 페이스북에서... ,"Fri, 12 Mar 2021 19:31:00 +0900"
"[MBN 백브리핑] <b>홍준표</b>, 김종인 향해 '백의종군' 요구했지만…김종인은 '침묵...",http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4450426,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001558508,"여기에 <b>홍준표</b> 무소속 의원까지 가세해 참 복잡합니다. 이동석 기자의 백브리핑에서 복잡한 이들의 관계... 홍 의원은 국민의힘에 <b>복당</b>하려고 노력했지만, 받아들여지지 않았습니다. 이 때문에 김 위원장을 향한 불만이... ","Tue, 16 Mar 2021 15:48:00 +0900"
"경남 대권잠룡, 부산시장 보선 발판 존재감 키운다",http://www.knnews.co.kr/news/articleView.php?idxno=1346741,http://www.knnews.co.kr/news/articleView.php?idxno=1346741,각종 여론조사에서 보수 후보군 가운데는 <b>홍준표</b> 의원이 선두에 있지만 아직 <b>복당</b>이 이뤄지지 않았다. 김태호 의원은 박형준 부산시장 후보 공동선대위원장으로서 다음달 7일 보궐선거까지 부산에 상주하면서... ,"Tue, 16 Mar 2021 22:10:00 +0900"
김태호 국민의힘 <b>복당</b>···<b>홍준표</b>는?,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202101071117001&code=910402,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003052806,"김 위원장은 <b>홍준표</b> 의원의 <b>복당</b> 문제를 묻자 “여태까지 <b>복당</b>하겠다는 생각도 안 하고, 신청도 안 한 분인데, 그런 분까지 구태여 우리 스스로 얘기할 필요는 없는 것 아니냐”고 답했다. 김 의원은 <b>복당</b> 의결 직후 자신의... ","Thu, 07 Jan 2021 11:17:00 +0900"
부산보궐선거 통합선대위 띄우는 박형준…<b>홍준표</b>·김태호와 손 잡는다,https://imnews.imbc.com/news/2021/politics/article/6110000_34866.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=214&aid=0001104184,"무소속 <b>홍준표</b> 의원과 <b>복당</b>파 김태호 의원 등이 박형준 국민의힘 부산시장 보궐선거 예비후보를 지원하기로 했습니다. 박형준 예비후보는 &quot;경선 발표 이후 홍 의원과 전화 통화를 했고, 부산 선거를 적극적으로 돕기로 했다... ","Sat, 06 Mar 2021 11:30:00 +0900"
김태호 의원 국민의힘으로 <b>복당</b>…<b>홍준표</b> 의원은?,http://www.dt.co.kr/contents.html?article_no=2021010702109958044002&ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=029&aid=0002647492,김종인 비대위원장 &quot;여태 <b>복당</b> 신청도 안해…구태여 이야기할 필요 없다&quot; <b>홍준표</b>에 선 그어 국민의힘이 7일 탈당 후 4·15 총선에 출마해 당선된 김태호 의원의 <b>복당</b>을 결정했다. 김종인 국민의힘 비상대책위원장은 이날... ,"Thu, 07 Jan 2021 11:13:00 +0900"
"국민의힘, 김태호 <b>복당</b> 허용··· <b>홍준표</b>는 언제?(종합)",https://www.sedaily.com/NewsView/22H5VV734V,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003852789,하지만 지도부가 심사를 보류하면서 이 전 의원의 <b>복당</b>은 미뤄지게 됐다. <b>홍준표</b> 무소속 의원(전 자유한국당 대표)의 <b>복당</b>에 대해서는 <b>복당</b>계를 우선 내야 한다고 압박했다. 홍 전 의원은 지난달 주호영 원내대표가 <b>복당</b>을... ,"Thu, 07 Jan 2021 10:52:00 +0900"
"4·7 재보선의 방정식 “與 패하면 이재명, 野 패하면 윤석열이 웃는다”",https://shindonga.donga.com/3/all/13/2509906/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=262&aid=0000014314,중도보수 성향의 오 후보가 경쟁력을 증명했으니 당내 대선 경선 구도 역시 유승민·원희룡의 중도보수 블록과 <b>홍준표</b>(<b>복당</b>할 경우)·황교안의 강경 보수 블록 간 경쟁으로 재편될 전망이다. 지난 국민의힘 서울시장... ,"Fri, 19 Mar 2021 10:02:00 +0900"
"<b>홍준표</b> &quot;국힘 켕긴 구석이라도…특검·전수조사 모두 반대, 야당 맞나&quot;",https://www.news1.kr/articles/?4239526,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005219437,이런 가운데 <b>홍준표</b> 의원은 '이런 좋은 기회를 놓치면 야당 노릇 그만해야 한다'며 <b>복당</b>을 불허하는 등 그동안 자신과 대립각을 세워 온 김종인 비대위원장 등 국민의힘 지도부를 신나게 몰아 세우고 있다.,"Fri, 12 Mar 2021 17:40:00 +0900"
"<b>홍준표</b>, '<b>복당</b> 어렵다'는 주호영에 &quot;배은망덕&quot;",http://yna.kr/AKR20201203173000001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012059018,"무소속 <b>홍준표</b> 의원[연합뉴스 자료사진] 무소속 <b>홍준표</b> 의원은 3일 국민의힘 주호영 원내대표가 자신의 <b>복당</b> 문제에 '상당 기간 어렵다'고 말한 것과 관련, &quot;배은망덕하다&quot;고 말했다. 홍 의원은 페이스북에서 &quot;나는 사람의... ","Thu, 03 Dec 2020 20:19:00 +0900"
"<b>홍준표</b>, <b>복당</b> 막는 주호영에 &quot;배은망덕하다&quot;",https://www.ytn.co.kr/_ln/0101_202012040855019820,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001521978,국민의힘 주호영 원내대표가 무소속 <b>홍준표</b> 의원 <b>복당</b> 문제에 대해 '상당 기간 어렵다'고 말하자 홍 의원은 &quot;배은망덕하다&quot;라고 비판했다. 지난 3일 홍 의원은 페이스북을 통해 &quot;사람 도리상 주 원내대표가 <b>복당</b> 문제를... ,"Fri, 04 Dec 2020 08:55:00 +0900"
"<b>홍준표</b>, ‘<b>복당</b> 반대’ 주호영에 “배은망덕해”",https://www.donga.com/news/article/all/20201203/104279921/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003324156,<b>홍준표</b> 무소속 의원이 3일 자신의 <b>복당</b>에 대해 부정적인 뜻을 밝힌 국민의힘 주호영 원내대표를 향해 “참으로 배은망덕(背恩亡德) 하다”고 비판했다. 앞서 주 원내대표는 전날 중앙일보와의 인터뷰에서 홍 의원의... ,"Thu, 03 Dec 2020 20:40:00 +0900"
김태호 국민의힘 <b>복당</b>…김종인 “원래 우리 당 소속”,http://news.kbs.co.kr/news/view.do?ncd=5089259&amp;ref=A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0010966534,"서울 강남병 선거에 나섰지만 낙선하고 <b>복당</b>을 신청한 상태입니다. 앞서 지난해 9월 권성동 의원이 <b>복당</b>한 가운데, 무소속 <b>홍준표</b>, 윤상현 의원은 <b>복당</b> 신청서를 내지 않고 있습니다. [사진 출처 : 국민의힘 홈페이지] 김수연","Thu, 07 Jan 2021 08:27:00 +0900"
<b>홍준표 복당</b> 움직임에 주호영은 선 긋기…당내 의견 분분,https://www.hankyung.com/politics/article/2020120433087,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004461487,주호영 원내대표는 최근 한 언론과의 인터뷰에서 <b>홍준표</b> 의원의 <b>복당</b> 관련 질문에 &quot;반대하는 의원이 많고 30~40대 여성이나 화이트칼라층의 비호감도가 높아 <b>복당</b>은 당의 분열로 연결된다&quot;며 &quot;서울시장 선거를 앞두고 그런... ,"Fri, 04 Dec 2020 11:40:00 +0900"
