title,originallink,link,description,pubDate
&quot;뒤가 켕기냐&quot;는 <b>홍준표</b>에 '박수를' [여의도돋보기],https://www.hankyung.com/realestate/article/202103140724i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004512714,의혹 △추미애 <b>아들</b> 군휴가 의혹 △라임·옵티머스 사태 △대북 원전 건설 의혹 등 9개월동안 총 다섯 개... 오죽하면 자유한국당(옛 국민의힘) 대선 주자였던 <b>홍준표</b> 의원(사진 위)이 SNS에 “도대체 야당이 뭐가 켕겨서... ,"Sun, 14 Mar 2021 13:46:00 +0900"
"<b>홍준표</b> “이재명, 연애도 무상으로 하는 분”",https://www.chosun.com/politics/politics_general/2021/03/08/5QO5GWXYQJB6BOR4IX7FDYC4ZM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003600289,"불과합니다.” <b>홍준표</b> 무소속 의원이 또 다시 이재명 경기지사를 향해 날을 세웠다. 최근 이 지사를... 대통령의 <b>아들</b> 문준용군 문제를 물고 늘어지는 것을 보고 비로소 ‘아하, 그 사람이구나’ 하는 생각을 굳히게 됐다”... ","Mon, 08 Mar 2021 17:56:00 +0900"
"&quot;안젤리나 졸리 되고 싶다&quot;는 <b>홍준표</b>, 클럽하우스로 '정치 버스킹' 재시동",https://view.asiae.co.kr/article/2021031311221240067,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=277&aid=0004864479,"남자를 이기잖아요.&quot; (<b>홍준표</b> 무소속 의원) <b>홍준표</b> 무소속 의원이 영화, 드라마와 음악에 대한 이야기로 10일... <b>아들</b> 둘과 주말 저녁 자주 영화관을 찾는다고 한다. 인생에서 첫 영화는 1962년 개봉한 '아카시아 꽃잎 필 때... ","Sat, 13 Mar 2021 11:21:00 +0900"
"<b>홍준표</b> &quot;이재명, 文<b>아들</b> 물고 늘어질 때 '양아치'생각 굳혀…친문이 과연&quot;",https://www.news1.kr/articles/?4227533,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005196779,<b>홍준표</b> 의원이 차기주자 지지도 선두를 질주하고 있는 이재명 경기지사 앞을 본격적으로 가로막고 나섰다. 최근 들어 거의 매일 이 지사를 비판한 홍 의원은 이번엔 이 지사의 아픈 구석 중 하나인 문재인 대통령 <b>아들</b>... ,"Tue, 02 Mar 2021 14:55:00 +0900"
"<b>홍준표</b> &quot;文대통령 <b>아들</b> 물고 늘어진 이재명, 이익 위해 어떤 짓도 해&quot;",http://news.heraldcorp.com/view.php?ud=20210302000337,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001800615,"<b>홍준표</b> 무소속 의원은 2일 이재명 경기도지사를 향해 &quot;양아치 같은 짓&quot;, &quot;상종 못할 사람&quot;이라고 맹폭을... 이어 &quot;이번에 자신의 선거법 위반 재판을 할 때 문재인 대통령의 <b>아들</b> 준용 씨의 문제를 물고 늘어지는 것을 보고... ","Tue, 02 Mar 2021 10:39:00 +0900"
<b>홍준표</b> “양아치 같은 이재명…친문 환영 못 받을 것”,https://www.donga.com/news/article/all/20210302/105680542/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003341766,<b>홍준표</b> 무소속 의원이 2일 이재명 경기도지사를 ‘양아치’에 빗대며 맹비난을 퍼부었다. 홍 의원은 이날... 대통령 <b>아들</b> 문준용 군 문제를 물고 늘어지는 것을 보고 비로소 ‘아하 그런 사람이구나’ 하는 생각을 굳히게... ,"Tue, 02 Mar 2021 15:02:00 +0900"
"<b>홍준표</b>, 또 이재명 때리기…&quot;양아치 인성, 상종못할 사람&quot;",http://www.edaily.co.kr/news/newspath.asp?newsid=04972486628979384,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004865628,<b>홍준표</b> 무소속 의원이 이재명 경기지사를 겨냥해 노골적인 비난을 이어가고 있다. 홍 의원은 2일 자신의... 대통령 <b>아들</b> 문준용 군 문제를 물고 늘어지는 것을 보고 비로소 아하 그런 사람이구나 하는 생각을 굳히게... ,"Tue, 02 Mar 2021 17:52:00 +0900"
"‘이재명=양아치 프레임?’ 연일 맹폭...<b>홍준표</b>, “文 <b>아들</b> 준용 군을 물고 늘...",http://www.segye.com/content/html/2021/03/02/20210302513620.html?OutUrl=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003557324,대통령 <b>아들</b> 문준용 군 문제를 물고 늘어지는 것을 보고 비로소 아하 그런 사람이구나 하는 생각을 굳히게 되었다”고 주장했다. <b>홍준표</b> 무소속 의원 페이스북 갈무리 그러면서 “자신의 이익을 위해서라면 어떤 짓도 할... ,"Tue, 02 Mar 2021 23:01:00 +0900"
"<b>홍준표</b>, '이재명=양아치' 연일 맹폭…&quot;자신 이익 위해 어떤 짓도 할 인성&quot;",http://news.tvchosun.com/site/data/html_dir/2021/03/02/2021030290045.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=448&aid=0000320229,<b>홍준표</b> 무소속 의원이 2일 이재명 경기도지사를 향해 또 &quot;양아치&quot;라는 표현을 써가며 맹비난을 이어갔다. 홍... 대통령 <b>아들</b> 문준용군 문제를 물고 늘어지는 것을 보고 비로소 아하 그런 사람이구나 하는 생각을 굳히게... ,"Tue, 02 Mar 2021 11:26:00 +0900"
"<b>홍준표</b>, 나흘째 '이재명 인성' 공격…&quot;상종못할 사람&quot;",http://yna.kr/AKR20210302133400001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012235005,무소속 <b>홍준표</b> 의원이 여권 유력주자인 이재명 경기지사를 겨냥해 나흘째 노골적인 비난을 이어갔다.... 이 지사가 '혜경궁 김씨 트위터 사건'과 관련해 재판을 받는 과정에서 검찰에 문재인 대통령 <b>아들</b> 준용 씨의 특혜... ,"Tue, 02 Mar 2021 16:44:00 +0900"
"<b>홍준표</b> “이재명 양아치, 나와 문준용을 물고늘어져”",https://www.chosun.com/politics/politics_general/2021/03/02/C6D3LNJDAVCZBP24FME4IQYQUQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003599064,"무소속 <b>홍준표</b> 의원이 연일 이재명 경기지사를 ‘양아치’라고 부르며 ‘인성(人性) 공격'을 이어가고 있다.... 대통령의 <b>아들</b> 문준용군 문제를 물고 늘어지는 것을 보고 비로소 ‘아하, 그런 사람이구나’ 하는 생각을... ","Tue, 02 Mar 2021 18:07:00 +0900"
"&quot;여배우와 무상연애&quot; &quot;한국판 차베스&quot; <b>홍준표</b>, 연일 이재명 맹폭",https://www.hankyung.com/politics/article/2021030215327,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004506926,무소속 <b>홍준표</b> 의원이 연일 더불어민주당 소속 이재명 경기지사를 향해 노골적인 비판을 쏟아내고 있어... 대통령 <b>아들</b> 문준용군 문제를 물고 늘어지는 것을 보고 비로소 아하 그런 사람이구나 하는 생각을 굳히게 되었다... ,"Tue, 02 Mar 2021 17:03:00 +0900"
BTS 노래 틀며 '인싸'된 <b>홍준표</b>…클럽하우스 첫 입문,http://www.edaily.co.kr/news/newspath.asp?newsid=03781846628982008,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004872479,무소속 <b>홍준표</b> 의원이 10일 음성 메신저 ‘클럽하우스’를 통해 젊은 세대들과의 소통 행보를 시작했다. 첫... <b>아들</b>들과 주말 저녁에 가곤 했다”고 기억했다. 방송 중간 청취자들의 질문도 받았다. 한 질문자는 홍 의원에... ,"Wed, 10 Mar 2021 16:57:00 +0900"
"<b>홍준표</b>, 이재명 과거 발언 재조명…&quot;친문들로부터 환영 받지 못할 것&quot;",https://news.imaeil.com/Politics/2021030209211214742,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000691065,대통령 <b>아들</b> 문준용군 문제를 물고 늘어지는 것을 보고 비로소 아하 그런 사람이구나 하는 생각을 굳히게 됐다&quot;라며 &quot;자신의 이익을 위해서라면 어떤 짓도 할 수 있다&quot;고 주장했다. [<b>홍준표</b> 의원 페이스북 전문] 2014.12. 한국... ,"Tue, 02 Mar 2021 09:22:00 +0900"
"<b>홍준표</b>, 이재명 맹폭 “양아치” “연애 무상으로 하는 분”",http://news.kmib.co.kr/article/view.asp?arcid=0015611136&code=61111111&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=005&aid=0001418373,"<b>홍준표</b> 무소속 의원이 이재명 경기도지사의 ‘기본 시리즈’(기본주택·기본소득·기본대출) 정책을 강하게... 대통령의 <b>아들</b> 준용군의 문제를 물고 늘어지는 것을 보고 비로소 ‘아하, 그런 사람이구나’ 하는 생각을... ","Tue, 09 Mar 2021 08:20:00 +0900"
“양아치” “연애도 무상으로 하는 분” 이재명 폭격하는 <b>홍준표</b>,http://news.heraldcorp.com/view.php?ud=20210309000060,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001803737,"<b>홍준표</b> 무소속 의원이 이재명 경기지사에게 맹폭을 가하고 있다. 이 지사를 향해 '양아치'라고 원색 비난을... 대통령의 <b>아들</b> 준용 군의 문제를 물고 늘어지는 것을 보고 비로소 '아하, 그런 사람이구나'하는 생각을 굳혔다... ","Tue, 09 Mar 2021 07:54:00 +0900"
