title,originallink,link,description,pubDate
<b>홍준표</b> &quot;80넘은 할배가 마이크 독점…DJ처럼 안철수 품어라&quot;,https://news.joins.com/article/olink/23609890,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0003086151,“야권 단일화의 장애물은 김종인 위원장입니다.” <b>홍준표</b> 무소속 의원이 김종인 국민의힘... 홍 의원은 야권 대선 주자들의 <b>지지율</b>이 지지부진한 이유도 김 위원장에게서 찾았다. 그는 “국민의힘 대선 후보란 사람들이... ,"Thu, 18 Mar 2021 17:37:00 +0900"
'尹 <b>지지율</b>' 급등에 <b>홍준표</b> &quot;1년은 긴 시간…민심 흐름 지켜보자&quot;,http://news.tf.co.kr/read/ptoday/1847956.htm,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=629&aid=0000071920,&quot;대선 파도 급속히 흘러갈 것&quot; 야권의 대선주자인 <b>홍준표</b> 무소속 의원이 아직 대선이 1년이나 남았다고 강조했다. <b>지지율</b> 변화가 크기 때문에 예단하기 어렵다는 뜻으로 보인다. 홍 의원은 14일 페이스북을 통해 &quot;지난 2년... ,"Sun, 14 Mar 2021 11:06:00 +0900"
"&quot;김종인의 심술, 단일화 장애물&quot; 규정한 <b>홍준표</b> &quot;'안철수 말려 죽이기' 작전 ...",https://www.sedaily.com/NewsView/22JUVJUF5H,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003885072,"오는 4월 치러지는 서울시장 보궐선거를 앞두고 야권 후보 단일화가 난항을 겪고 있는 상황과 관련, <b>홍준표</b>... 여기에 덧붙여 홍 의원은 전격 사퇴 이후 차기 대권 후보 <b>지지율</b> 1위에 오른 윤석열 전 검찰총장과 관련, &quot;윤 전... ","Thu, 18 Mar 2021 16:57:00 +0900"
"윤석열 <b>지지율</b>, 40% 육박…이재명과 13%p 격차",https://www.donga.com/news/article/all/20210315/105876988/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003344445,"윤석열 전 검찰총장이 차기 대권주자 <b>지지율</b> 조사에서 이재명 경기도지사와 더불어민주당 이낙연... 이 밖에도 무소속 <b>홍준표</b> 의원(5.7%), 추미애 전 법무부 장관(2.7%), 정세균 국무총리(2.4%), 국민의힘 유승민 전... ","Mon, 15 Mar 2021 09:30:00 +0900"
"&quot;대권 <b>지지율</b>, 윤석열 37%로 급등…이재명 24% 이낙연 13%&quot;",http://yna.kr/AKR20210315016500001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012259293,"윤 전 총장과 이 지사의 <b>지지율</b> 격차는 8.3%포인트에서 13%포인트로 벌어졌다. 이 밖에도 무소속 <b>홍준표</b> 의원 5.7%, 추미애 전 법무부 장관 2.7%, 정세균 국무총리 2.4%, 국민의힘 유승민 전 의원 2.2% 등이었다. 이번... ","Mon, 15 Mar 2021 08:27:00 +0900"
윤석열 대선<b>지지율</b> 37%… 이재명·이낙연 훌쩍 제쳤다,http://news.kmib.co.kr/article/view.asp?arcid=0015631529&code=61111111&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=005&aid=0001420314,"이로써 윤 전 총장과 이 지사의 <b>지지율</b> 격차는 8.3% 포인트에서 13% 포인트로 벌어졌다. 뒤이어 무소속 <b>홍준표</b> 의원 5.7%, 추미애 전 법무부 장관 2.7%, 정세균 국무총리 2.4%, 국민의힘 유승민 전 의원 2.2% 등이었다.... ","Mon, 15 Mar 2021 08:59:00 +0900"
"윤석열 <b>지지율</b> 37%, 오차범위 밖 1위…이재명 24%·이낙연 13% [KSOI]",http://news.tvchosun.com/site/data/html_dir/2021/03/15/2021031590082.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=448&aid=0000321422,"윤석열 전 검찰총장이 차기 대선 후보 적합도를 묻는 <b>지지율</b>에서 이재명 경기도지사와 더불어민주당... 이 밖에도 무소속 <b>홍준표</b> 의원 5.7%, 추미애 전 법무부 장관 2.7%, 정세균 국무총리 2.4%, 국민의힘 유승민 전... ","Mon, 15 Mar 2021 11:14:00 +0900"
"윤석열, 대권<b>지지율</b> 37% '껑충'…이재명 24%, 이낙연 13%",https://www.hankyung.com/politics/article/202103152218i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004512956,"3%를 받았다. 이 뒤를 <b>홍준표</b> 무소속 의원(5.7%), 추미애 전 법무부 장관(2.7%), 정세균 국무총리(2.4%), 유승민 전 의원(2.2%) 등이 이었다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지 등을 참고하면 된다.","Mon, 15 Mar 2021 08:50:00 +0900"
윤석열 <b>지지율</b> 37%로↑..이재명 24.2%에 크게 앞서,http://www.fnnews.com/news/202103150923177658,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004600794,"윤 전 총장의 <b>지지율</b>은 1주일 전 같은 조사보다 4.8%포인트 올랐고, 이 지사의 <b>지지율</b>은 0.1%포인트 상승, 이 위원장은 1.6%포인트 하락했다. 뒤이어 무소속 <b>홍준표</b> 의원 5.7%, 추미애 전 법무부 장관 2.7%, 정세균... ","Mon, 15 Mar 2021 09:32:00 +0900"
"文 <b>지지율</b> 급락, 尹 <b>지지율</b>은 급등…거세지는 ‘LH 후폭풍’",http://www.busan.com/view/busan/view.php?code=2021031510302213508,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=082&aid=0001074836,"윤 전 총장과 이 지사의 <b>지지율</b> 격차는 8.3%포인트에서 13%포인트로 벌어졌다. 이 밖에도 무소속 <b>홍준표</b> 의원 5.7%, 추미애 전 법무부 장관 2.7%, 정세균 국무총리 2.4%, 국민의힘 유승민 전 의원 2.2% 등이었다. 이번... ","Mon, 15 Mar 2021 10:40:00 +0900"
