title,originallink,link,description,pubDate
"<b>홍준표</b> &quot;김종인, 협상의 장애물…제발 좀 빠져달라&quot;",https://news.imaeil.com/Politics/2021031908515233841,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000694251,"이하 <b>홍준표</b> 의원 <b>페이스북</b> 전문 그 좋던 야당 선거 분위기가 서울은 김종인 위원장의 몽니로,부산은 LCT 매입 관련으로 힘들게 진행 되고 있습니다. 서울은 단일화 협상에 장애가 되는 김종인 위원장은 제발 좀 빠지고 두... ","Fri, 19 Mar 2021 08:52:00 +0900"
"<b>홍준표</b> &quot;김종인, 제발 좀 빠져라&quot;",http://www.edaily.co.kr/news/newspath.asp?newsid=01905686628984960,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004879971,<b>홍준표</b> 무소속 의원은 김종인 국민의힘 비상대책위원장이 야권 단일화 협상에 장애가 된다며 “제발 좀 빠지라”고 요구했다. 홍 의원은 19일 오전 <b>페이스북</b>을 통해 “그 좋던 야당 선거 분위기가 서울은 김종인 위원장의... ,"Fri, 19 Mar 2021 10:12:00 +0900"
"<b>홍준표</b> &quot;김종인, 제발 야권단일화 협상서 빠져라&quot;",https://www.hankyung.com/politics/article/2021031914007,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004515977,"&quot;분위기 좋던 야당, 김종인 몽니로 힘들어져&quot; <b>홍준표</b> 의원은 이날 <b>페이스북</b>에 &quot;그 좋던 야당 선거 분위기가 서울은 김종인 위원장의 몽니로, 부산은 엘시티(LCT) 매입 관련으로 힘들게 진행되고 있다&quot;며 이같이 썼다. 오세훈... ","Fri, 19 Mar 2021 10:31:00 +0900"
"<b>홍준표</b> &quot;김종인, 서울시장 단일화 협상서 제발 빠져라&quot;",http://www.fnnews.com/news/202103190829207208,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004604146,<b>홍준표</b> 무소속 의원은 김종인 국민의힘 비상대책위원장을 향해 “서울은 (야권후보) 단일화 협상에 자애가 되는 김종인 위원장은 제발 좀 빠지고 두 후보에게 맡겨달라”고 촉구했다. 홍 의원은 19일 <b>페이스북</b>을 통해 “그... ,"Fri, 19 Mar 2021 08:37:00 +0900"
"<b>홍준표</b> &quot;그 좋던 선거 분위기가…김종인, 제발 좀 빠져야&quot; 직격",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4453293,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001559484,<b>홍준표</b> 무소속 의원은 오늘(19일) 야권 단일화가 후보 등록 전 끝내 불발된 원인을 김종인 국민의힘 비상대책위원장 탓으로 돌리면서 김 위원장이 협상 과정에서 빠져야 한다고 직격했습니다. 홍 의원은 이날 <b>페이스북</b>을... ,"Fri, 19 Mar 2021 09:33:00 +0900"
"<b>홍준표</b> &quot;늘 머뭇거리던 안철수, 김종인 수용 결단 높이 사&quot;",http://www.newsis.com/view/?id=NISX20210319_0001376622&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010401614,<b>홍준표</b>무소속 의원은 19일 안철수 국민의당 서울시장 후보가 국민의힘 요구 조건을 수용하기로 한 데 대해 &quot;김종인 몽니에 굴복하는 것도 한신의 굴욕처럼 훌륭한 책략&quot;이라고 평가했다. 홍 의원은 이날 자신의 <b>페이스북</b>에... ,"Fri, 19 Mar 2021 13:05:00 +0900"
<b>홍준표</b> “부동산 적폐청산하자…文대통령도 대상”,https://www.donga.com/news/article/all/20210319/105957629/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003345542,<b>홍준표</b> 무소속 의원이 18일 “진정한 부동산 적폐청산을 하자. 물론 대통령도 대상”이라고 말했다. 홍 의원은 이날 밤 <b>페이스북</b>을 통해 “이번에 문재인 대통령이 부동산 적폐청산을 하겠다고 했다. 한번 해보자”며... ,"Fri, 19 Mar 2021 10:08:00 +0900"
"<b>홍준표</b> &quot;김종인, 단일화 협상서 제발 빠져라&quot;",https://www.ytn.co.kr/_ln/0101_202103191135018257,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001564561,<b>홍준표</b> 무소속 의원은 19일 김종인 국민의힘 비상대책위원장이 야권 단일화 협상에 장애가 된다며 &quot;제발 좀 빠지라&quot;고 요구했다. 홍 의원은 이날 <b>페이스북</b>에 글을 올려 &quot;그 좋던 야당 선거 분위기가 서울은 김종인... ,"Fri, 19 Mar 2021 11:35:00 +0900"
<b>홍준표</b> &quot;단일화 망치는 김종인 제발 빠지라&quot;,https://www.sedaily.com/NewsView/22JV9Y1S31,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003885375,국민의힘 일부 전·현직 의원들이 김종인 비상대책위원장의 사퇴를 촉구한 가운데 <b>홍준표</b> 무소속 의원이 19일 “단일화 협상에 장애가 되는 김종인 위원장은 제발 좀 빠지라”고 가세했다. 홍 의원은 이날 오전 <b>페이스북</b>을... ,"Fri, 19 Mar 2021 10:47:00 +0900"
"<b>홍준표</b> &quot;오세훈-안철수, 의로운 결단… 두 분 다 승자&quot;",http://www.inews24.com/view/1351523,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=031&aid=0000589026,<b>홍준표</b> 무소속 의원이 19일 국민의힘 오세훈·국민의당 안철수 서울시장 후보의 상대 측 단일화 안 수용... 홍 의원은 이날 <b>페이스북</b>을 통해 &quot;김종인의 몽니에서 벗어나 서울시민의 품으로 돌아온 오세훈 서울시장 후보의... ,"Fri, 19 Mar 2021 17:41:00 +0900"
