title,originallink,link,description,pubDate
"<b>홍준표</b> &quot;그 좋던 선거 분위기가…김종인, 제발 좀 빠져야&quot; 직격",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4453293,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001559484,<b>홍준표</b> 무소속 의원은 오늘(19일) 야권 단일화가 후보 등록 전 끝내 불발된 원인을 김종인 국민의힘 비상대책위원장 탓으로 돌리면서 김 위원장이 협상 과정에서 빠져야 한다고 직격했습니다. 홍 의원은 이날 페이스북을... ,"Fri, 19 Mar 2021 09:33:00 +0900"
<b>홍준표</b> “부동산 적폐청산하자…文대통령도 대상”,https://www.donga.com/news/article/all/20210319/105957629/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003345542,<b>홍준표</b> 무소속 의원이 18일 “진정한 부동산 적폐청산을 하자. 물론 대통령도 대상”이라고 말했다. 홍 의원은 이날 밤 페이스북을 통해 “이번에 문재인 대통령이 부동산 적폐청산을 하겠다고 했다. 한번 해보자”며... ,"Fri, 19 Mar 2021 10:08:00 +0900"
"<b>홍준표</b> &quot;김종인, 제발 좀 빠져라&quot;",http://www.edaily.co.kr/news/newspath.asp?newsid=01905686628984960,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004879971,"<b>홍준표</b> 무소속 의원은 김종인 국민의힘 비상대책위원장이 야권 단일화 협상에 장애가 된다며 “제발 좀... 김종인 국민의힘 비상대책위원장(왼쪽), <b>홍준표</b> 무소속 의원 (사진=뉴시스)한편, 홍 의원뿐만 아니라 ‘더 좋은... ","Fri, 19 Mar 2021 10:12:00 +0900"
'단일화 수용 安' 명장 한신에 비유하며 &quot;훌륭한 책략&quot; 극찬한 <b>홍준표</b>,https://view.asiae.co.kr/article/2021031921384589088,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=277&aid=0004868848,<b>홍준표</b> 무소속 의원이 19일 국민의힘의 단일화 요구를 수용하겠다고 밝힌 안철수 국민의당 서울시장 후보를 중국 한나라 명장 한신에 비유하며 극찬했다. 홍 의원은 이날 자신의 페이스북에 올린 글에서 &quot;김종인 (국민의힘... ,"Fri, 19 Mar 2021 21:56:00 +0900"
<b>홍준표</b>-정세균 신경전…&quot;등판 준비하나&quot;vs&quot;준비 잘 하라&quot;,https://www.hankyung.com/politics/article/2021031801257,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004515751,여야 대권주자로 꼽히는 정세균 국무총리(사진)와 <b>홍준표</b> 무소속 의원이 18일 국회 예산결산특별위원회 종합정책질의에서 신경전을 벌였다. 지난달 대정부 질문에서 맞닥뜨린데 이어 두 번째다. 이날 홍 의원은 정 총리를... ,"Thu, 18 Mar 2021 19:48:00 +0900"
"<b>홍준표</b> &quot;김종인, 협상의 장애물…제발 좀 빠져달라&quot;",https://news.imaeil.com/Politics/2021031908515233841,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000694251,"<b>홍준표</b> 무소속 의원이 19일 야권의 서울시장 보궐선거 단일화와 관련해 김종인 국민의힘 비상대책위원장을... 이하 <b>홍준표</b> 의원 페이스북 전문 그 좋던 야당 선거 분위기가 서울은 김종인 위원장의 몽니로,부산은 LCT 매입... ","Fri, 19 Mar 2021 08:52:00 +0900"
"<b>홍준표</b> &quot;김종인, 서울시장 단일화 협상서 제발 빠져라&quot;",http://www.fnnews.com/news/202103190829207208,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004604146,<b>홍준표</b> 무소속 의원은 김종인 국민의힘 비상대책위원장을 향해 “서울은 (야권후보) 단일화 협상에 자애가 되는 김종인 위원장은 제발 좀 빠지고 두 후보에게 맡겨달라”고 촉구했다. 홍 의원은 19일 페이스북을 통해 “그... ,"Fri, 19 Mar 2021 08:37:00 +0900"
"<b>홍준표</b> &quot;늘 머뭇거리던 안철수, 김종인 수용 결단 높이 사&quot;",http://www.newsis.com/view/?id=NISX20210319_0001376622&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010401614,<b>홍준표</b>무소속 의원은 19일 안철수 국민의당 서울시장 후보가 국민의힘 요구 조건을 수용하기로 한 데 대해 &quot;김종인 몽니에 굴복하는 것도 한신의 굴욕처럼 훌륭한 책략&quot;이라고 평가했다. 홍 의원은 이날 자신의 페이스북에... ,"Fri, 19 Mar 2021 13:05:00 +0900"
<b>홍준표</b> “등판 준비 하고 있냐”…정세균 “홍 의원이 준비 잘 하시길”,http://news.heraldcorp.com/view.php?ud=20210318001071,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001808894,여야 대권 잠룡으로 꼽히는 정세균 국무총리와 <b>홍준표</b> 무소속 의원이 18일 국회 예결위장에서 또다시 신경전을 벌였다. 홍 의원은 18일 종합정책질의에 출석한 정 총리에게 &quot;등판 준비는 하고 있냐&quot;고 말문을 열었다.... ,"Thu, 18 Mar 2021 21:29:00 +0900"
<b>홍준표</b> &quot;등판할 때 됐는데&quot;…정세균 &quot;의원님 준비 잘 하길&quot;,http://yna.kr/AKR20210318170400001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012269868,洪 &quot;사기진작 위로금 또 뿌리나&quot; 丁 &quot;뿌리는 게 아니라 드리는 것&quot; 여야 대권 잠룡으로 꼽히는 정세균 국무총리와 무소속 <b>홍준표</b> 의원이 18일 국회 예결위장에서 신경전을 벌였다. 홍 의원은 이날 정 총리를 향한 질의를... ,"Thu, 18 Mar 2021 19:03:00 +0900"
