title,originallink,link,description,pubDate
심상정 “촛불정부까지 투기를 하다니···LH는 <b>문재인</b> 정부의 적폐”,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202103161939001&code=910402,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003064381,심상정 정의당 의원은 16일 <b>문재인</b> 대통령이 한국토지주택공사(LH) 투기 사건과 관련해 사과를 한 것과 관련해... 부패는 <b>문재인</b> 정부의 적폐”라며 맹공했다. 심 의원은 “어제 문 대통령께서 부동산 적폐청산을 통해서... ,"Tue, 16 Mar 2021 19:40:00 +0900"
"[현장영상] &quot;<b>문재인</b> 대통령 내외, 23일 AZ 백신 공개 접종&quot;",https://www.ytn.co.kr/_ln/0101_202103151631327113,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001562794,청와대가 <b>문재인</b> 대통령의 코로나19 백신 접종 계획을 발표했습니다. 6월 영국에서 열리는 주요 7개국... [강민석 / 청와대 대변인] 질병관리청이 마련한 예방접종 절차에 따라 <b>문재인</b> 대통령과 김정숙 여사가... ,"Mon, 15 Mar 2021 16:31:00 +0900"
입장하는 <b>문재인</b> 대통령,http://www.newsis.com/view/?id=NISI20210316_0017254695,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010395601,"<b>문재인</b> 대통령이 16일 오후 청와대 본관에서 디지털협력포럼에 참석하는 중남미 4개국 장관 접견을 위해 입장하고 있다. 정의용(왼쪽) 외교부 장관, 최기영(오른쪽) 과학기술정보통신부 장관. 2021.03.16. scchoo@newsis.... ","Tue, 16 Mar 2021 16:09:00 +0900"
심상정 &quot;LH 부동산 적폐는 <b>문재인</b> 정부 적폐&quot;,http://news.tf.co.kr/read/ptoday/1848326.htm,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=629&aid=0000072233,文대통령의 부동산 적폐청산 비판…&quot;대통령 사과 필요&quot; 심상정 정의당 의원은 16일 <b>문재인</b> 대통령을 향해 &quot;부동산 적폐는 예전 정부부터 누적된 것이지만 이번 공직자들의 부패는 <b>문재인</b> 정부의 적폐&quot;라며 대통령의 사과를... ,"Tue, 16 Mar 2021 13:05:00 +0900"
<b>문재인</b> 정부 긍정평가 40%나? 40%밖에?,http://h21.hani.co.kr/arti/politics/politics_general/50085.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=036&aid=0000044549,2017년 <b>문재인</b> 대통령 취임 직후 한국갤럽 여론조사 대통령 직무수행 긍정평가는 84%였다. 최근에는 40... 투표층 결속의 또 다른 이유 &lt;한겨레21&gt;과 글로벌리서치 여론조사에서 4년 전 2017년 대통령선거에서 <b>문재인</b>... ,"Tue, 16 Mar 2021 10:49:00 +0900"
<b>문재인</b> 대통령의 뒤늦은 반성... 그런데 또 틀렸다,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002727241&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=047&aid=0002305739,&lt;편집자말&gt; ▲   <b>문재인</b> 대통령이 16일 오전 청와대 여민관에서 열린 국무회의에 참석해 발언하고 있다. ⓒ 청와대 제공 <b>문재인</b> 대통령이 고개를 숙였다. 문 대통령은 16일 오전 청와대에서 열린 국무회의에서 &quot;최근 LH... ,"Tue, 16 Mar 2021 18:52:00 +0900"
"文대통령, 'LH 사태는 적폐' 규정에 심상정 &quot;이번 부패는 <b>문재인</b> 정부의 적폐...",https://www.sedaily.com/NewsView/22JTY3DMUZ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003883842,"규정한 <b>문재인</b> 대통령의 언급과 관련, 심상정 정의당 의원이 &quot;부동산 적폐는 예전 정부부터 누적된 것이지만 이번 공직자들의 부패는 <b>문재인</b> 정부의 적폐&quot;라고 목소리를 높였다. 정의당 부동산투기공화국... ","Tue, 16 Mar 2021 14:10:00 +0900"
윤희숙 &quot;<b>문재인</b> 대통령 무책임한 지도자…정신세계 어쩌면 좋나&quot;,https://news.imaeil.com/Politics/2021031610213638009,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000693670,&quot;해먹은 건 자기들이면서 국민들을 손가락질하는 대통령의 정신 세계를 어쩌면 좋겠느냐&quot; 국민의힘 윤희숙 의원이 LH 직원 땅 투기 의혹을 '적폐'로 규정한 <b>문재인</b> 대통령에 대해 16일 페이스북을 통해 맹비난 했다. 윤... ,"Tue, 16 Mar 2021 10:23:00 +0900"
<b>문재인</b> 정부 D+1406,http://www.enewstoday.co.kr/news/articleView.html?idxno=1460736,http://www.enewstoday.co.kr/news/articleView.html?idxno=1460736,"<b>문재인</b> 대통령이 16일 오후 청와대에서 한-중남미 디지털협력포럼에 참석하는 중남미 4개국 장관·대사를 접견하고 있다. [사진=연합뉴스] ◇文, 코스타리카 등 중남미 3개국 장관 접견 <b>문재인</b> 대통령이 16일 청와대에서... ","Tue, 16 Mar 2021 17:35:00 +0900"
심상정 &quot;이번 공직자 부패는 <b>문재인</b> 정부의 '적폐'&quot;,https://www.news1.kr/articles/?4242879,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005225780,"부패는 <b>문재인</b> 정부의 적폐&quot;라고 비판했다. 당 부동산투기공화국해체특별위원회 위원장을 맡고 있는 심... 심 의원은 이어 &quot;<b>문재인</b> 대통령은 투기세력과의 전쟁을 수차례 공언하셨고, 또 절대 지지 않겠다고도... ","Tue, 16 Mar 2021 16:14:00 +0900"
