title,originallink,link,description,pubDate
"<b>홍준표</b> “안철수 비판한 김종인, 피아 구분 못하는 소인배”",https://www.donga.com/news/article/all/20210315/105881578/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003344474,<b>홍준표</b> 무소속 의원이 15일 안철수 국민의당 서울시장 후보를 비판한 김종인 국민의힘 비상대책위원장을 향해 “상대는 민주당인데 같은 야권 후보를 비방하는 것은 피아를 구분하지 못하는 소인배 정치”라고 말했다.... ,"Mon, 15 Mar 2021 12:00:00 +0900"
"<b>홍준표</b> “안철수 비방한 김종인, 피아 구분 못하는 소인배”",https://www.chosun.com/politics/politics_general/2021/03/15/7H2SHL45PVE4DCBKCBQ2POOOWA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003601693,무소속 <b>홍준표</b> 의원이 15일 국민의힘 김종인 비상대책위원장을 향해 “야권 단일화를 앞두고 (국민의당 서울시장) 안철수 후보를 원색적으로 비방하는 것은 소인배 정치에 불과하다”고 했다. 홍 의원은 이날 페이스북에... ,"Mon, 15 Mar 2021 14:46:00 +0900"
"김종인 &quot;安, 토론도 못 하는 사람&quot;에 <b>홍준표</b> &quot;소인배 정치&quot;",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4449108,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001558045,이에 <b>홍준표</b> 무소속 의원은 김 위원장을 겨냥해 &quot;소인배 정치&quot;라고 비판했습니다. 홍 의원은 이날 페이스북에서 &quot;시대적 명제가 야권 단일화이니 중립적 입장에서 중재할 생각은 하지 않고 (야당의) 상대는 민주당인데 같은... ,"Mon, 15 Mar 2021 11:56:00 +0900"
<b>홍준표</b> &quot;김종인 '안철수 비방'은 소인배 정치&quot;,http://news.mk.co.kr/newsRead.php?no=245690&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004763442,<b>홍준표</b> 무소속 의원이 15일 김종인 국민의힘 비상대책위원장을 겨냥해 &quot;야권 단일화를 앞두고 김 위원장까지 나서서 안철수 국민의당 후보를 원색적으로 비방하는 것은 소인배 정치에 불과하다&quot;고 밝혔다. 홍 의원은 이날... ,"Mon, 15 Mar 2021 15:48:00 +0900"
"<b>홍준표</b> &quot;김종인 물러나야, 같은 야권후보 비방은 피아 구문 못하는 소인배 정...",https://news.imaeil.com/Politics/2021031516570903094,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000693568,<b>홍준표</b> 무소속 의원이 15일 김종인 국민의힘 비상대책위원장을 향해 &quot;상대는 민주당인데 같은 야권후보를... [<b>홍준표</b> 의원 페이스북 전문] 시대적 명제가 야권 단일화라면 중립적 입장에서 중재할 생각은 하지 않고 상대는... ,"Mon, 15 Mar 2021 16:57:00 +0900"
"<b>홍준표</b>, 安 때린 김종인에 &quot;피아 구분 못하는 소인배 정치&quot;",https://www.hankyung.com/politics/article/2021031539867,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004513210,"<b>홍준표</b> 무소속 의원(사진)은 15일 안철수 국민의당 서울시장 보궐선거 후보를 비판한 김종인 국민의힘... &quot;김종인, 소인배 정치 말고 물러나라&quot; <b>홍준표</b> 의원은 이날 페이스북에 &quot;야권 단일화를 앞두고 김종인 위원장까지... ","Mon, 15 Mar 2021 14:15:00 +0900"
"<b>홍준표</b>, '安 비판' 김종인에 &quot;심술 소인배 정치..물러서라&quot;",http://www.fnnews.com/news/202103151352263257,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004601103,"4.7 서울시장 보궐선거 야권 단일화 협상 중 곳곳에서 마찰이 발생하고 있는 가운데, <b>홍준표</b> 의원이 김종인... 있다는 것을 알아주셨으면 한다&quot;며 불편한 감정을 드러냈다. #<b>홍준표</b> #안철수 #오세훈 #김종인 #4.7서울시장보궐선거","Mon, 15 Mar 2021 14:09:00 +0900"
"<b>홍준표</b> &quot;김종인, 소인배 정치 그만…단일화 吳·安 직접 결정해야&quot;",http://www.edaily.co.kr/news/newspath.asp?newsid=02683046628983648,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004875771,무소속 <b>홍준표</b> 의원이 안철수 국민의당 대표를 저격하는 김종인 국민의힘 비상대책위원장을 향해 “소인배 정치에 불과하다”고 비판했다. 무소속 <b>홍준표</b> 의원. (사진=연합뉴스)홍 의원은 15일 자신의 사회관계망서비스... ,"Mon, 15 Mar 2021 12:07:00 +0900"
"<b>홍준표</b> &quot;안철수 비방하는 김종인, 소인배 정치…물러서라&quot;",http://www.newsis.com/view/?id=NISX20210315_0001370619&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010392670,<b>홍준표</b> 무소속 의원은 15일 &quot;야권 단일화를 앞두고 김종인 위원장까지 나서서 안철수 후보를 원색적으로 비방하는 것은 소인배 정치에 불과하다&quot;며 &quot;그만하고 물러서 계시라&quot;라고 전했다. 홍 의원은 이날 오전 자신의... ,"Mon, 15 Mar 2021 12:09:00 +0900"
<b>홍준표</b> &quot;김종인 '安 비방'은 소인배 정치…마지막까지 몽니&quot;,http://news.mt.co.kr/mtview.php?no=2021031513162191163,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=008&aid=0004557220,<b>홍준표</b> 무소속 의원은 김종인 국민의힘 비상대책위원장을 겨냥해 &quot;(서울시장) 야권 단일화는 두 후보가 직접 담판으로 결정 하도록 하는 것이 맞다&quot;며 &quot;그만 하시고 물러서 계시라&quot;고 밝혔다. 홍 의원은 15일 페이스북에... ,"Mon, 15 Mar 2021 13:27:00 +0900"
&quot;뒤가 켕기냐&quot;는 <b>홍준표</b>에 '박수를' [여의도돋보기],https://www.hankyung.com/realestate/article/202103140724i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004512714,오죽하면 자유한국당(옛 국민의힘) 대선 주자였던 <b>홍준표</b> 의원(사진 위)이 SNS에 “도대체 야당이 뭐가 켕겨서 뒷걸음질 치나”며 “경찰 조사는 계속 하고 특검 통과 되면 자료 넘겨 수사하면 되지 않나”고 정색하고... ,"Sun, 14 Mar 2021 13:46:00 +0900"
'尹 지지율' 급등에 <b>홍준표</b> &quot;1년은 긴 시간…민심 흐름 지켜보자&quot;,http://news.tf.co.kr/read/ptoday/1847956.htm,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=629&aid=0000071920,&quot;대선 파도 급속히 흘러갈 것&quot; 야권의 대선주자인 <b>홍준표</b> 무소속 의원이 아직 대선이 1년이나 남았다고 강조했다. 지지율 변화가 크기 때문에 예단하기 어렵다는 뜻으로 보인다. 홍 의원은 14일 페이스북을 통해 &quot;지난 2년... ,"Sun, 14 Mar 2021 11:06:00 +0900"
<b>홍준표</b> “국민들 文 정권에 염증 커 윤석열에 기대”,https://www.donga.com/news/article/all/20210314/105868150/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003344295,무소속 <b>홍준표</b> 의원이 최근 각종 여론조사에서 윤석열 전 검찰총장이 차기 대선 지지율 1위를 기록하는 것에 대해 언급했다. 홍 의원은 14일 자신의 페이스북에 “지난 2년 동안 차기 대선시계는 황교안 대표에서 이낙연... ,"Sun, 14 Mar 2021 13:37:00 +0900"
<b>홍준표</b> &quot;1년은 참으로 긴 시간…대선 파도 예단할 수 없어&quot;,https://imnews.imbc.com/news/2021/politics/article/6118000_34866.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=214&aid=0001105717,무소속 <b>홍준표</b> 의원이 &quot;대선까지 남은 1년은 참으로 긴 시간&quot;이라며 &quot;어떤 파도가 닥칠지 예단할 수 없다&quot;고 밝혔습니다. 홍 의원은 오늘 SNS를 통해 &quot;지난 2년 동안 차기 대선시계는 황교안 대표에서 이낙연 대표로 그리고... ,"Sun, 14 Mar 2021 14:10:00 +0900"
<b>홍준표</b> &quot;김종인의 안철수 비방은 소인배 정치…물러서 계시라&quot;,https://imnews.imbc.com/news/2021/politics/article/6119115_34866.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=214&aid=0001105922,무소속 <b>홍준표</b> 의원이 국민의힘 김종인 비상대책위원장을 향해 &quot;안철수 후보를 원색적으로 비방하는 것은 소인배 정치에 불과하다&quot;고 비판했습니다. 홍 의원은 오늘 자신의 SNS를 통해 &quot;상대는 민주당인데 같은 야권후보를... ,"Mon, 15 Mar 2021 15:02:00 +0900"
"노영민 &quot;'좀스럽다'라는 표현, 대통령의 인간적 호소…아방궁 논란 <b>홍준표</b>만 ...",https://news.imaeil.com/Society/2021031509401630674,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000693446,그는 &quot;노 전 대통령의 봉하 사저에 대해 아방궁이라고 비난했던 야당은 아직 사과 한 마디 없다&quot;라며 &quot;아방궁이라고 비난했던 사람 중 <b>홍준표</b> 의원 한 사람만 사과했다&quot;고 비판했다.,"Mon, 15 Mar 2021 09:42:00 +0900"
"<b>홍준표</b> &quot;국민들, 文 정부에 대한 염증 커 윤석열에 기대&quot;",http://www.fnnews.com/news/202103140953246856,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004600314,<b>홍준표</b> 무소속 의원은 최근 윤석열 전 검찰총장이 각종 여론조사에서 차기 대선 지지율 1위를 기록하는 것과 관련해 &quot;얼마나 이 정권에 대한 염증이 컸으면 국민들이 아무런 역할을 하지 못하는 야당보다 윤석열 전... ,"Sun, 14 Mar 2021 10:04:00 +0900"
"<b>홍준표</b> &quot;김종인 막판까지 몽니, 피아 구분 못하고 안철수 비방&quot;",https://www.news1.kr/articles/?4241206,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005222589,"박태훈 선임기자 = 무소속 <b>홍준표</b> 의원은 15일, 김종인 국민의힘 비상대책위원회 위원장에게 몽니 그만 부리고 아름다운 야권 단일화에 밑거름이나 되라고 주문했다. 홍 의원은 페이스북을 통해 &quot;야권 단일화를 앞두고... ","Mon, 15 Mar 2021 13:29:00 +0900"
<b>홍준표</b> &quot;국회의원 땅 투기 전수조사 찬성...의원직 걸어야&quot;,https://www.ytn.co.kr/_ln/0101_202103122157499021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001561940,무소속 <b>홍준표</b> 의원이 부동산 투기 의혹과 관련한 민주당의 국회의원 전수조사 제안에 참 잘하는 것이라며 절대적으로 찬성한다고 강조했습니다. 홍 의원은 자신의 SNS를 통해 부동산 투기 전수조사의 첫 출발은... ,"Fri, 12 Mar 2021 21:57:00 +0900"
"<b>홍준표</b> &quot;대선 시계, 이재명에서 윤석열로…정권 염증 큰 듯&quot;",http://www.newsis.com/view/?id=NISX20210314_0001369666&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010391235,<b>홍준표</b> 무소속 의원은 14일 &quot;지난 2년 동안 차기 대선 시계는 황교안 대표에서 이낙연 대표로 그리고 이재명 지사에서 윤석열 전 검찰총장으로 빠르게 흘러가고 있다&quot;고 전했다. 홍 의원은 이날 오전 자신의 페이스북을 통해... ,"Sun, 14 Mar 2021 11:27:00 +0900"
"김종인 &quot;안철수, 토론 못 하는 사람&quot; 비판에 <b>홍준표</b> &quot;소인배&quot;",https://www.sedaily.com/NewsView/22JTHHX2R4,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003883301,<b>홍준표</b> 무소속 의원은 15일 서울시장 야권 후보 단일화 과정에서 안철수 국민의당 후보를 비판한 김종인 국민의힘 비상대책위원장을 향해 “소인배 정치”라고 비판했다. 홍 의원은 페이스북을 통해 “야권 단일화를... ,"Mon, 15 Mar 2021 14:18:00 +0900"
"[MBN 백브리핑] <b>홍준표</b>, 김종인 향해 '백의종군' 요구했지만…김종인은 '침묵...",http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4450426,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001558508,"여기에 <b>홍준표</b> 무소속 의원까지 가세해 참 복잡합니다. 이동석 기자의 백브리핑에서 복잡한 이들의 관계... 【 앵커3 】 여기에 무소속 <b>홍준표</b> 의원도 가세를 했는데, 둘 사이에 끼어들었으면 누구 편을 들었을 거 아니에요... ","Tue, 16 Mar 2021 15:48:00 +0900"
[이슈시개]'의원 투기 전수조사' 與제안에…<b>홍준표</b> &quot;절대 찬성&quot;,https://www.nocutnews.co.kr/news/5515098,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=079&aid=0003478450,"LH(한국토지주택공사) 투기 논란 확산에 더불어민주당이 국회의원 300명에 대한 전수조사 카드를 꺼내들자, 무소속 <b>홍준표</b> 의원이 &quot;절대적으로 찬성한다&quot;고 밝혔다. <b>홍준표</b> 의원은 12일 자신의 페이스북에 &quot;민주당이... ","Fri, 12 Mar 2021 14:55:00 +0900"
"<b>홍준표</b> &quot;국힘, '국회의원 전수조사' 동의…참 잘한 결정&quot;",http://news.mt.co.kr/mtview.php?no=2021031608075320879,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=008&aid=0004557688,<b>홍준표</b> 무소속 의원이 한국토지주택공사(LH) 직원들의 땅 투기 의혹 관련 '국회의원 전수조사'를 국민의힘이 수용한 것에 대해 &quot;참 잘한 결정&quot;이라고 밝혔다. 홍 의원은 지난 15일 페이스북에 &quot;배현진 의원을 비롯한... ,"Tue, 16 Mar 2021 09:52:00 +0900"
"<b>홍준표</b>, 주호영 '셀프 조사'에 &quot;뭐가 켕겨 뒷걸음질 치나&quot;",http://www.newsis.com/view/?id=NISX20210312_0001368954&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010390346,<b>홍준표</b> 무소속 의원이 주호영 국민의힘 원내대표의 부동산 투기 전수조사 관련 '우리는 스스로 하겠다'는 발언에 대해 &quot;도대체 야당이 뭐가 켕겨서 당당하게 제3자로부터 혹독하게 조사를 못 받고 뒷걸음질 치나&quot;라고... ,"Fri, 12 Mar 2021 17:58:00 +0900"
