text,created_at
Joe Biden just fell 3 times in a row trying to go up the stairs to Air Force One https://t.co/gTUTckUH32,Fri Mar 19 15:45:38 +0000 2021
"Opening remarks in Anchorage were agreed to be 2 minutes each 

The CCP delegation opened with 20 minutes of blasti… https://t.co/EnLRruYkrF",Fri Mar 19 01:56:26 +0000 2021
@joanoak78 @tedcruz Neither is criticizing the Biden administration when warranted,Sat Mar 20 12:53:40 +0000 2021
RT @Kathy__Gee: 5/? But perhaps the most annoying thing about Bruenig's piece is that her framing falsely suggests that I oppose Biden's ch…,Sat Mar 20 12:53:40 +0000 2021
RT @AntonioMuozlva1: Tensión y acusaciones primaron en primer encuentro d alto nivel e/ EEUU y #China luego d la llegada d Biden al poder.…,Sat Mar 20 12:53:40 +0000 2021
RT @dld64376621: Biden's White House doesn't want former pot heads working for them but they don't care about the legalization of pot and o…,Sat Mar 20 12:53:40 +0000 2021
Well isn’t that something. Note who is making it about race. Evidently Biden and Harris ignore the FBI findings. https://t.co/qTq51MD3Wb,Sat Mar 20 12:53:40 +0000 2021
"RT @JackVardan: Biden ame Putin adu argumen ame saling sindir. Sama-sama punya roket. Kalo yang ono mau nyindir, tapi kanan kiri kaca. Mau…",Sat Mar 20 12:53:39 +0000 2021
"RT @felipeneto: Estados Unidos completaram hoje 100 milhões de vacinados em apenas 58 dias de Joe Biden.

Já o Brasil só fechou HOJE uma co…",Sat Mar 20 12:53:39 +0000 2021
"RT @NoLieWithBTC: Yes, dictators loved Trump and hate Biden. This is not the flex you think it is.",Sat Mar 20 12:53:39 +0000 2021
"RT @kylegriffin1: President Biden: ""For those folks who either already have or will soon have $1400 in their pockets, you can thank Senator…",Sat Mar 20 12:53:39 +0000 2021
"RT @DrDenaGrayson: Biden trips while running up a steep staircase, yet Trump couldn't shuffle down a ramp, let alone roll out 100 million v…",Sat Mar 20 12:53:39 +0000 2021
RT @RepRoKhanna: This is an absurd policy that will block law abiding people—particularly people of color—from pursuing careers in public s…,Sat Mar 20 12:53:39 +0000 2021
RT @angielovesuk: Joe Biden getting off the plane 😂😂😂😂🤣🤪 https://t.co/3P1r5mIEfP,Sat Mar 20 12:53:39 +0000 2021
"RT @DonaldJTrumpJr: My thoughts on what world leaders and our enemies think of Joe Biden. The are emboldened by his weakness. 
WATCH!
https…",Sat Mar 20 12:53:39 +0000 2021
RT @Paul_LeMarinier: WoW! Biden’s plan to resolve the illegal migrants problem he created at the 🇺🇸 border with Mexico 🇲🇽 is to move them b…,Sat Mar 20 12:53:39 +0000 2021
Joe Biden’s White House has ‘Reefer Madness’ https://t.co/lOXlw0mAbn,Sat Mar 20 12:53:39 +0000 2021
"RT @joncoopertweets: Activists, lawmakers and medical groups are pushing Biden’s FDA to lift restrictions on a 20-year-old drug for termina…",Sat Mar 20 12:53:39 +0000 2021
RT @davidmweissman: Any person that would be #RootinForPutin over President Biden just because they hate Democrats.,Sat Mar 20 12:53:38 +0000 2021
