text,created_at
I remember the press bashing Trump for touching the rail once. Biden falls repeatedly but I’m sure he’s the picture… https://t.co/9dBnryBHEK,Fri Mar 19 16:18:39 +0000 2021
"President Trump takes a sip of water. The media: “He had a stroke!”

President Biden falls going up the stairs. The… https://t.co/JWZfhNLYbI",Fri Mar 19 19:11:44 +0000 2021
"In January, President Trump said: “If our border security measures are reversed, it will trigger a tidal wave of il… https://t.co/4xtR8H2xVu",Fri Mar 19 00:08:26 +0000 2021
RT @PalmerReport: Trump supporters think it’s a big deal that Biden randomly tripped on some stairs. But they weren’t fazed at all when Tru…,Sat Mar 20 12:53:44 +0000 2021
RT @NnameTrump: The world needs President Trump.,Sat Mar 20 12:53:43 +0000 2021
RT @BarbraStreisand: Trump ushered in a new wave of hate crimes against Asian Americans. These latest killings break my heart. It is easier…,Sat Mar 20 12:53:43 +0000 2021
"RT @TheEliasRework: Trump's Mar-a-Lago partially closed due to COVID outbreak and Republican complete STUPIDITY. 
...
https://t.co/pV47ren4…",Sat Mar 20 12:53:43 +0000 2021
"@BoSnerdley I respected W when September 11th happened, not so much now after he left Trump out to dry. He’s too co… https://t.co/sOidxPWXhc",Sat Mar 20 12:53:43 +0000 2021
"RT @jeremynewberger: With the Mar-a-Lago Dining Room closed due to COVID, where will Trump hit on the trophy brides of his thrice married g…",Sat Mar 20 12:53:43 +0000 2021
RT @frontpage_live: ‘Everybody knows the Republicans are full of shit’: Playboy reporter Brian Karem slams Trump and co. in epic @MeidasTou…,Sat Mar 20 12:53:43 +0000 2021
RT @ImSpeaking13: Thanks to Trump white people think they are oppressed.,Sat Mar 20 12:53:42 +0000 2021
"RT @maura_resister: Trump Facing

Three Criminal Probes
29 Lawsuits 
A $700 Million Loss

And the Trump Virus sweeping through Mar a Largo…",Sat Mar 20 12:53:42 +0000 2021
@seanhannity @mikepompeo Hannity is a usual idiot for the russian propaganda machine.  He's also complicit along wi… https://t.co/aztqaExZ51,Sat Mar 20 12:53:42 +0000 2021
"RT @PalmerReport: Mar-a-Lago is shut down due to covid, Trump’s private plane is sitting disassembled in a hangar, and he’s in the process…",Sat Mar 20 12:53:42 +0000 2021
RT @pat_fasnacht: #Bidenfall  I remember when Trump had difficulty drinking water with both hands and going down a ramp at West Point. http…,Sat Mar 20 12:53:42 +0000 2021
@BlueWaverAgain @Catherine3684 yet libtards and media attacked trump for literally walking down steps slowly,Sat Mar 20 12:53:42 +0000 2021
RT @newsmax: ICYMI: A teacher who claims she was forced to edit out a Trump logo from a yearbook photo just got a six-figure settlement: ht…,Sat Mar 20 12:53:42 +0000 2021
"RT @CRRJA5: The Trump base have the best memes 
🔉Sound on 🔊https://t.co/tOdyUN1wm1",Sat Mar 20 12:53:42 +0000 2021
