text,created_at
"Big News: President Biden announced that tomorrow, our Administration will hit 100 million COVID-19 shots administe… https://t.co/JGorjlh1Ro",Fri Mar 19 00:46:00 +0000 2021
You can't work for Biden’s administration if you smoked marijuana in the past. Is that why his cabinet doesn’t include Obama?,Sat Mar 20 00:40:00 +0000 2021
"Today, President Biden and Vice President Harris met with Asian American leaders in Atlanta to discuss Tuesday’s at… https://t.co/Zrjf7J2X60",Sat Mar 20 03:20:00 +0000 2021
"RT @KatiePavlich: The Biden administration is separating kids from their family members, according to this Democrat Senator",Sat Mar 20 12:53:40 +0000 2021
@joanoak78 @tedcruz Neither is criticizing the Biden administration when warranted,Sat Mar 20 12:53:40 +0000 2021
"RT @mattbc: If you were wondering, this is one of the reasons I never considered applying for a position in the Biden-Harris administration…",Sat Mar 20 12:53:38 +0000 2021
RT @TheHRH: At the same time the Biden Administration welcomes and refuses to covid test those coming in to the US by land who it then spri…,Sat Mar 20 12:53:38 +0000 2021
"RT @TheLeoTerrell: Day 59: Biden Administration:  President Biden: You love to play race card: Each Day of your Administration, I will send…",Sat Mar 20 12:53:37 +0000 2021
RT @StephenAtHome: You can't work for Biden’s administration if you smoked marijuana in the past. Is that why his cabinet doesn’t include O…,Sat Mar 20 12:53:36 +0000 2021
@newsmax Harris is president. Just ask Biden 😂.  This administration is a big joke.  Far worse than trump. That is a fact.,Sat Mar 20 12:53:35 +0000 2021
