text,created_at
Biden calls Kamala 'President Harris' during speech https://t.co/lvFIPgND6Z https://t.co/rxphg0aChV,Thu Mar 18 21:01:17 +0000 2021
The Biden administration will reach 100 million vaccinations by tomorrow and more Americans are getting checks ever… https://t.co/elO736B6ty,Thu Mar 18 20:18:53 +0000 2021
@CNN doesn’t card if Biden falls. But THIS was a major story! How can anyone deny what’s going on here?? https://t.co/UAaF5bAgPY,Sat Mar 20 12:53:30 +0000 2021
"RT @a_newgarden: @moej4242 Joe Biden is not mentally fit to be president. That’s not a joke, that’s not snark, that’s reality. The poor guy…",Sat Mar 20 12:53:00 +0000 2021
RT @NoLieWithBTC: The Biden administration will reach 100 million vaccinations by tomorrow and more Americans are getting checks every day.…,Sat Mar 20 12:51:44 +0000 2021
"RT @Nidia87450734: @anders_aslund Ironic that if he lived in Russia, he wouldn’t be able to criticize Putin the same way he criticizes Pres…",Sat Mar 20 12:50:23 +0000 2021
"@Amy_Siskind Please.

It took Putin about 15 seconds of speech to expose Joe Biden as a broken down, cognitively de… https://t.co/6WYVSvL0c0",Sat Mar 20 12:50:15 +0000 2021
"RT @simondolan: Biden can’t walk upstairs without falling nor deliver a speech without rambling incoherently.

This evil old war monger is…",Sat Mar 20 12:50:00 +0000 2021
RT @chatcher2: Biden Tells America Silence Is Complicity In Strong Denunciation Of Racist Attacks https://t.co/My7yV5aS7f via @politicususa,Sat Mar 20 12:47:35 +0000 2021
"RT @Buddie211: @FoxNews Well, how are you commies doing today???? So you think Putin would run all over Biden in a debate do you??? Preside…",Sat Mar 20 12:47:13 +0000 2021
@nypost https://t.co/1CfnPX9Ikj,Sat Mar 20 12:44:10 +0000 2021
RT @jillrussia: ￼Biden’s speech tonight was important not only for Americans but for America’s soft power around the world. An American pre…,Sat Mar 20 12:44:00 +0000 2021
RT @SAVoltolin: How the hell is Joe Biden ever going to be able to give a State of the Union speech? https://t.co/oVenD9Pvkb,Sat Mar 20 12:42:16 +0000 2021
"@FoxNews Well, how are you commies doing today???? So you think Putin would run all over Biden in a debate do you??… https://t.co/CMSBLipkk9",Sat Mar 20 12:42:10 +0000 2021
"RT @DailyMail: Who's really in charge, Joe? Biden, 78, calls Kamala 'President Harris' during White House speech in yet another slip of the…",Sat Mar 20 12:41:22 +0000 2021
Biden Tells America Silence Is Complicity In Strong Denunciation Of Racist Attacks https://t.co/j0NDGD0Hy6 via @politicususa,Sat Mar 20 12:40:15 +0000 2021
"RT @NYCFreeAssange: @nytimes It is now March, Biden has been in office since January 20, Julian Assange is still in prison, the U.S. is sti…",Sat Mar 20 12:37:32 +0000 2021
@AllyFunAuntof3 @MichaelHendre11 @SKascher @POTUS All I hear is How Dare you say that about BIDEN and President Har… https://t.co/n4luTldFvn,Sat Mar 20 12:37:28 +0000 2021
@NicolleDWallace As a speech instructor I can attest that every person has a go-to phrase...to allow them time to g… https://t.co/zcKrUBrf5F,Sat Mar 20 12:36:57 +0000 2021
