text,created_at
"Here is what I don’t get: why didn’t the Republicans and Fox News,  who are calling for Governor Cuomo to resign, c… https://t.co/9ROvTIMXyy",Fri Mar 19 00:08:21 +0000 2021
Tussaud’s Wax Museum in San Antonio Removes Trump Figure Because People Keep Punching It 🤛  https://t.co/J95gCKpYqn,Thu Mar 18 18:38:40 +0000 2021
"MOST IMPORTANT NEWS OF 2021 SO FAR

🟦 DEMOCRATS: Trump orchestrates an insurrection against the United States, spaw… https://t.co/37QapOqph6",Fri Mar 19 22:42:24 +0000 2021
"RT @CREWcrew: We need stronger rules against foreign lobbying.
https://t.co/NierAQvCb7",Sat Mar 20 12:53:41 +0000 2021
"RT @joshgerstein: JUST IN: Chicago-based Federal Savings Bank foreclosing on Paul Manafort's NY Hamptons home, worth $7 million. Same bank…",Sat Mar 20 12:53:40 +0000 2021
RT @peacemomma67: #JenniferWeisselberg Ex-wife of Trump Org executive has spoken to investigators 'multiple times. Oh SNAP! She’s pissed he…,Sat Mar 20 12:53:40 +0000 2021
"RT @BradBeauregardJ: Democratic Rep. Ruben Gallego, a Marine Corps combat veteran, is calling for active-duty service members, veterans and…",Sat Mar 20 12:53:39 +0000 2021
@News_8 Trump spends a lot of money on that.,Sat Mar 20 12:53:39 +0000 2021
BREAKING NEWS Trump's Florida residence Mar-a-Lago resort has been partially closed due to COVID-19 outbreak… https://t.co/LxIYqIvLYw,Sat Mar 20 12:53:39 +0000 2021
"RT @Editor_of_Eric: Nightly news:

- Donald Trump Jr goes on wild inheriting spree

- Hatch Act ignored for four years

- Dan Crenshaw grad…",Sat Mar 20 12:53:32 +0000 2021
"RT @RealDonalDrumpf: Don't let Covid dominate your life! Also, please cancel any plans you had to come to #MarALago for the forseeable futu…",Sat Mar 20 12:53:29 +0000 2021
"RT @CaslerNoel: Fox News &amp; GOP’s new business model seems to be that Putin should be running the United States. Makes sense, Trump was alwa…",Sat Mar 20 12:53:29 +0000 2021
RT @guardian: Four Proud Boys leaders charged over alleged roles in US Capitol attack https://t.co/BJHVUCsOWu,Sat Mar 20 12:53:28 +0000 2021
"RT @arunpudur: Even though Trump never fell like this, fake news media hounded him forever. While now they did not utter a word on Biden. h…",Sat Mar 20 12:53:27 +0000 2021
