text,created_at
I remember the press bashing Trump for touching the rail once. Biden falls repeatedly but I’m sure he’s the picture… https://t.co/9dBnryBHEK,Fri Mar 19 16:18:39 +0000 2021
Texas museum removes wax Trump figure after visitors kept punching it https://t.co/UvgLcU8DAI https://t.co/Xm5YXLbIRG,Fri Mar 19 01:25:04 +0000 2021
"RT @maura_resister: Trump Facing

Three Criminal Probes
29 Lawsuits 
A $700 Million Loss

And the Trump Virus sweeping through Mar a Largo…",Sat Mar 20 12:53:42 +0000 2021
RT @pat_fasnacht: #Bidenfall  I remember when Trump had difficulty drinking water with both hands and going down a ramp at West Point. http…,Sat Mar 20 12:53:42 +0000 2021
RT @newsmax: ICYMI: A teacher who claims she was forced to edit out a Trump logo from a yearbook photo just got a six-figure settlement: ht…,Sat Mar 20 12:53:42 +0000 2021
"RT @CRRJA5: The Trump base have the best memes 
🔉Sound on 🔊https://t.co/tOdyUN1wm1",Sat Mar 20 12:53:42 +0000 2021
"RT @MeidasTouch: “I’m not standing there &amp; taking that shit from anybody.”

@BrianKarem took on the Trump administration in the press brief…",Sat Mar 20 12:53:41 +0000 2021
"RT @miguelanh: @JesusRCuevas @PoliticaSiempre @lopezobrador_ @POTUS Y @lopezobrador_ de pendenciero a LIMOSNERO, del oye Trump al unas vacu…",Sat Mar 20 12:53:41 +0000 2021
"RT @JamesNavaCom: El general Charles Flynn, hermano del general Michael Flynn, se reunirá con el presidente Trump en Mar-a-Lago, Florida, p…",Sat Mar 20 12:53:41 +0000 2021
RT @AnIllicitWriter: Your reminder that a simple majority of Congress can revoke Donald Trump's post–presidential compensation package. No…,Sat Mar 20 12:53:40 +0000 2021
"RT @NoLieWithBTC: Yes, dictators loved Trump and hate Biden. This is not the flex you think it is.",Sat Mar 20 12:53:39 +0000 2021
"RT @Viczuri: Es hora de decirle al NWO y su plan satánico que NO,  y despertar al planeta, todos con Trump, para liberar al mundo. La prote…",Sat Mar 20 12:53:39 +0000 2021
"RT @JuliusGoat: Just a reminder that what made Trump such a piece of shit was not that he was unsteady and afraid on ramps, but the fact th…",Sat Mar 20 12:53:39 +0000 2021
RT @JYSexton: Just need to remind everyone the growing connection between the American Right and Putinism isn’t just about isolated electio…,Sat Mar 20 12:53:39 +0000 2021
"RT @LadyJayPersists: ...when you don't know what patriotism is... 

Trump loves this country? Sure, he loves it insofar as what he can grif…",Sat Mar 20 12:53:38 +0000 2021
RT @MermaidMaggie: So Republicans have decided to make Putin a shining example of what a leader should be... here r photos of all journalis…,Sat Mar 20 12:53:38 +0000 2021
"@RavenWyyrd @DonaldJTrumpJr Trump was the king of gaffes, both verbally and on Twitter.",Sat Mar 20 12:53:36 +0000 2021
