text,created_at
"My phone is melting, so I just want to say a huge thanks to all that have got in touch. It’s a massive to buzz to h… https://t.co/DlUKEuJrUZ",Thu Mar 18 17:23:35 +0000 2021
"While clearing out his grandparents house, Jason Burt discovered vinyl recordings of his grandfather playing trumpe… https://t.co/j0KdqmZIYK",Sat Mar 20 12:33:00 +0000 2021
"Feel like the world is too noisy? Think of the giant Kumbhakarṇa in the Hindu epic Ramayana, as a donkey brays, ele… https://t.co/UegOrvPZNq",Fri Mar 19 13:15:08 +0000 2021
次買うマイク決まったわ,Sat Mar 20 12:53:41 +0000 2021
"RT @NPR: While clearing out his grandparents house, Jason Burt discovered vinyl recordings of his grandfather playing trumpet for the 746th…",Sat Mar 20 12:53:33 +0000 2021
"RT @hirasawa: それゆえ、P-MODELヒラサワは自分用のマイクを持参するようになりました。

ヒラサワ専用マイクはゴッパーではなく、より声との相性が良いSM57であります。

ゴッパー引く1。

引き算こそ現代の解決法を実践する喜び（？）",Sat Mar 20 12:53:27 +0000 2021
"RT @MaziNnamdiKanu: Dear indigenous Nigerians:
Instead of faulting Fulani Gov of Bauchi for justifying AK47 assault riffles for herdsmen, y…",Sat Mar 20 12:53:00 +0000 2021
最大限の感染対策をとらずに活動する方はコロナになっても病院、行政にお世話になりませんと言う宣誓書でも持って活動して欲しい。,Sat Mar 20 12:52:55 +0000 2021
"@trumpet_ken こんばんは。初めまして！
ツイートの通り、クラリネット吹いてます！よろしくお願いします！🙇‍♀️",Sat Mar 20 12:52:51 +0000 2021
@KristaC72 I’m a trumpet player. Play in a couple of orchestras around here and freelance stuff.,Sat Mar 20 12:52:28 +0000 2021
