text,created_at
RT @beabletodefeat: 문재인 이름 걸고 운영하는 트위터에 올라온 야동짤도 보좌관 잘못이라고 하는 것들이니 ㅋㅋㅋㅋ 야 그럼 니들 논리대로라면 세월호는 박근혜가 선장도 아닌데 왜 박근혜 엮어서 깠냐 ㅋㅋㅋㅋㅋㅋ https://t.co/A…,Sat Mar 20 09:34:46 +0000 2021
"RT @HyeongNe: 문재인 대통령 자신은 트위터에 낯뜨거운 일본 근친야동 표지를 올리고 5분 후 삭제하고 현재까지 모르쇠로 일관.. 선거 시기라 이해하지만, 그 정도 하고싶은데 너무 좀스럽고, 너무 민망한 일이라 해명과 진실을 요구합니다. ht…",Sat Mar 20 09:34:36 +0000 2021
RT @honmi01113: 트위터 페이스북에 일본 근친상간 야동이나 올리고 한달에 두번 섹스한다는 여자연예인 사진이나 올리던 문재인이 야동을 못보게 한다고? 제정신인가? #문재인 #야동 #근친상간 #av https://t.co/qWsCODNXrF,Sat Mar 20 09:34:27 +0000 2021
"RT @k09201207: 트위터 실시간 트랜드에 님 지지자들이 이러고 있습니다 정계에서 은퇴하신 분이 당을 위하고 문재인 정부를 위해  보궐선거에 지원하시겠다는데  님 지지자들 왜 저러죠?
@nylee21 https://t.co/QmPH5lsg5Y",Sat Mar 20 09:30:33 +0000 2021
"트위터 실시간 트랜드에 님 지지자들이 이러고 있습니다 정계에서 은퇴하신 분이 당을 위하고 문재인 정부를 위해  보궐선거에 지원하시겠다는데  님 지지자들 왜 저러죠?
@nylee21 https://t.co/QmPH5lsg5Y",Sat Mar 20 09:29:30 +0000 2021
"안녕하십니까 트위터의 팔로우 여러분들.
사람이 먼저다. 문재인입니다.",Sat Mar 20 09:05:02 +0000 2021
친구들이 시도때도없이 문재인 태그해서 대통령 트위터아이디 외워버림,Sat Mar 20 02:55:03 +0000 2021
#성추행보궐선거 문재인 트위터에 올라온 한 장의 사진 논란 #일본근친야동  - YouTube - https://t.co/oVG3hJTKbD,Fri Mar 19 22:45:06 +0000 2021
RT @bongpalli: 문재인 트위터에 올라온 한 장의 사진 논란 #일본근친야동  - YouTube - https://t.co/noHPyFc13Y https://t.co/OyZFkQZKvv,Fri Mar 19 22:44:07 +0000 2021
문재인 트위터에 올라온 한 장의 사진 논란 #일본근친야동  - YouTube - https://t.co/noHPyFc13Y https://t.co/OyZFkQZKvv,Fri Mar 19 22:23:24 +0000 2021
"RT @bongpalli: ""@saramimeonjeoda 문재인 트위터에 올라온 음란물 이미지 논란…＂해킹＂ VS ＂실수＂ (출처 : 조선일보 | 네이버 뉴스) https://t.co/2x0iTwAMTL https://t.co/u88jmME7ic",Fri Mar 19 22:04:28 +0000 2021
