text,created_at
"&lt;이낙연 “정치인 박영선, 남달라...한다면 하는 사람”(머투)&gt;

#합니다박영선 #서울시대전환

https://t.co/v6BRoVsAlF https://t.co/0NYbGqabi8",Sun Mar 14 22:35:42 +0000 2021
"RT @princess7901: 여론조사 진행중 

02-877-5090

당대표후보와 대권후보 여론조사 함께 진행합니다

&lt;이낙연&gt;

주변에 널리 공유 부탁드립니다!!",Sat Mar 20 10:07:44 +0000 2021
"RT @JHWon10: 이해찬, 박영선 지원군 자처..
""吳 MB키즈, 尹 뿌리 없는 조화""

빌어먹을 놈. 이낙연 선대위원장이
죽어라고 운동 하고다니고 있는데
걸음도 못 걷는 놈이 돈 십만원씩
뿌리면 된다는 개소리나 하고 다니고
일부러 이대표가 제…",Sat Mar 20 10:07:39 +0000 2021
"RT @c2bwsjuhmEW3tbX: 이해찬 술주정부린거
이낙연의원이 수습하고 있는중 https://t.co/8Mm3YrvSJM",Sat Mar 20 10:07:18 +0000 2021
RT @I_the_love_live: 이길 것 같으니까 이낙연이 고생 다 한 뒤에 숟가락 얹으러 나오다니 미친... 나와서 선거 망해라 망해라 고사를 지내는 것 같던데,Sat Mar 20 10:07:09 +0000 2021
"RT @settlersaga1: 전화기 든 이낙연 ""긴박한 재보선..부지런히 호소하자"" | 다음뉴스 https://t.co/iOgKeVQxqL",Sat Mar 20 10:07:01 +0000 2021
"RT @dareto_tell_oo: 이낙연 선대위원장님은 서울, 부산 지인들 한테 연락해서 도와달라고 부탁해달라고 하는데.
이해찬이 갑툭튀해서는.
이길거 같대. 이길거 같으니까 표영업 하지말고 놀라는 말이냐? 
알았어 존나게 표영업 할게.",Sat Mar 20 10:06:52 +0000 2021
RT @HyejinUssg: 이낙연 선대위원장 하는데 훼방만 놓는 이재명과 이해찬. 전과4범 이재명,Sat Mar 20 10:06:48 +0000 2021
RT @ubermenschhgsg: 보궐승리에 우리 문프를 감히 언급하며 염병천병떨지마라. 언제 니들이 180석 가졌다고 청와대를 제대로 서포트해준 적이나 있나. 오직 이낙연대표시절만이 황금기였을뿐. 홍영표의원은 이를 악물고 반드시 차기당대표 되십쇼.,Sat Mar 20 10:06:38 +0000 2021
"RT @someday0912: 이낙연위원장님이 홀로 고군분투하는걸 두고볼수가 없어서, 서울사는 친구들과 지인들한테 톡 돌렸네요. 6명중에 그나마, 아무리 그래도 오세훈은 아니지라는 답을 4명한테 받았음. 두명은 애매모호 하구요!
전화기 든 이낙연 ""…",Sat Mar 20 10:06:36 +0000 2021
"RT @someday0912: 응원좀 해주세요ㅠ 극우극좌 악플에 마음이 아프네요ㅠ
전화기 든 이낙연 ""긴박한 재보선..부지런히 호소하자"" | 다음 뉴스 https://t.co/mKkojbjaOA",Sat Mar 20 10:06:34 +0000 2021
"RT @mireuk_duta: 신동근 의원님의 말 중에 '보궐선거 지면 문재인 정부와 이낙연 대표에게도 타격'이라는 대목에는 동의하지 못함. 보궐선거가 중요하고 당으로서 반드시 승리해야 할 선거지만, 혹여나 진다고 해도 이건 현재 보궐지도부와 이재명…",Sat Mar 20 10:06:18 +0000 2021
