text,created_at
이재명의 '배달특급' 성장세도 특급..100일만에 거래액 100억원 돌파 | 다음 뉴스 https://t.co/88GK9RtX4V,Sat Mar 13 04:34:45 +0000 2021
"이재명 “전두환, 사죄·용서·화해의 숭고한 삶 끝끝내 이해 못할 것”@newsvop https://t.co/YNtnGl8Gu4",Thu Mar 18 02:07:26 +0000 2021
"@ojc670 @lee_wonjae 신동근최고가 내부 비판은 잠시 접어두고란 말은 이재명을 겨냥한것이 아니라 박영선, 김영춘후보에 대해 아쉽거나 못미더운 점이 있더라도 보궐선거승리를 위해 잠시 접어두자란 말… https://t.co/vh0GvcAnmr",Sat Mar 20 10:07:48 +0000 2021
"RT @ppola1548: @rk2gKK0Go5ZzEd4 [복붙]
#보궐선거_실패하면_이재명-이해찬_때문이다!!

#보궐선거_실패하면_이재명_이해찬_때문이다!!

#보궐선거_실패하면_이재명_이해찬_때문이다 

#보궐선거_실패하면_이재명_이해찬_때문이다",Sat Mar 20 10:07:47 +0000 2021
RT @moosuri: 선거철만 되면 최악을 피해 차악을 선택~ ㅎ 지금 이재명과 그 패거리들이 토왜당보다 더 했으면 더 했지~ 뭐가 덜 하지?? 그냥 악은 악일뿐!! 소도둑이나 바늘도둑이나 그냥 도둑새끼들임!! 바늘도둑 금방 소도둑 되는거 지금 눈…,Sat Mar 20 10:07:46 +0000 2021
"RT @harry_iniyuni: 선거 망치고
비대위원장 먹어서
이재명 대통 만드려고?

누구 맘대로?",Sat Mar 20 10:07:44 +0000 2021
"RT @ting1574: 이재명 게이트 터지면 이명박ㄹㅎ
게이트는 새발의 피 정도다
도른넘 게이트 터지면 대한민국
역대 게이트 될 걸 고작 성남시장
갱지사 했는데도 조폭들부터 찐
대한민국 블랙홀 만들 게이트다
결국 터질 건 터질 걸",Sat Mar 20 10:07:36 +0000 2021
"RT @Ashley21458808: @skdc2875 옳은 말씀이신데요. 설득력이 있으려면 이해찬의 더민주가 자기 식구(전과 4범 이재명, 윤미향...등등) 감싸기를 안 했어야죠. 당원들이 내부 자정의 목소리를 내는 이유도 바로 그거구요. 제발 당을…",Sat Mar 20 10:07:35 +0000 2021
이재명과 이해찬을보면 부부가 한집에서 별거하는 느낌이야!  이혼하면 경제적으로 힘드니까 빈대붙는 느낌?????,Sat Mar 20 10:07:28 +0000 2021
RT @okS19551022: 노무현은 잘 모르지만 노무현 닮았다는 것도 싫어요 노무현은 행정능력도 없지만 안희정 등 측근이 뇌물받았고 가족들도 뇌물사건에 연루된 것을 다잡지 못한 것은 청렴하지도 않았다는 것이죠.니는 대한민국 정치인들이 하도 부패해…,Sat Mar 20 10:07:26 +0000 2021
"RT @earn75e: [경기신문] 이재명, '맑은 하천만들기'에 삼성전자·SK하이닉스·LG전자 '집결' https://t.co/fFhwnvjJ41 

자연의 수호자 이재명^^",Sat Mar 20 10:07:24 +0000 2021
"RT @thai2366: 그리 이재명 까대고
문프팔아 국개, 최고위원 되더니 이제 
문프는 갈사람이고 
재명이는 떠오르는별 같어?  ㅋㅋㅋㅋㅋ
조작지지율 1위에 맛이갔어?....  덜떨어진",Sat Mar 20 10:07:21 +0000 2021
RT @woodstock1000: 끊임없이 기층들의 처참한 삶을 개선하려는 진심에 경의를 표한다. 근로가 아닌 '노동'을 중시하고 가치를 존중하는 촛불혁명 참일꾼 이재명은 존중 받아 마땅한 면이 차고 넘친다. 천박한 양아치들이 물어 뜯을 만큼 빈틈도…,Sat Mar 20 10:07:18 +0000 2021
